id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
15227976,plusS,Women Solid Sweetheart Neck Dress,Rs. 189,Rs. 1899,4,3.8k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15227976/2021/9/23/265319b9-6781-45fa-b372-96f4eea969821632372799371-plusS-Women-Dresses-2871632372799065-1.jpg",https://www.myntra.com/dresses/pluss/pluss-women-pretty-pink-solid-sweetheart-neck-dress/15227976/buy
15413318,plusS,Self Design Smocked Dress,Rs. 219,Rs. 2199,4.3,2.7k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15413318/2021/10/27/66055f5c-3641-4942-af15-16d94a07b8781635332287272-plusS-Women-Dresses-8831635332286913-1.jpg",https://www.myntra.com/dresses/pluss/pluss-women-elegant-lavender-self-design-smocked-dress/15413318/buy
8126489,plusS Studio,Women Embroidered Shirt Dress,Rs. 359,Rs. 3599,4.3,7.3k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2018/12/7/e4d4754c-2fa5-41ba-81fd-6eb163cdf8331544206974378-1.jpg",https://www.myntra.com/dresses/pluss+studio/pluss-studio-burgundy-ruffles-top/8126489/buy
15598342,plusS,Abstract Smocked Dress,Rs. 244,Rs. 2449,4.2,4.4k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15598342/2021/11/17/dcf4d0b7-2378-48a3-8c74-6f796751483f1637141579663-plusS-Women-Dresses-1591637141579260-1.jpg",https://www.myntra.com/dresses/pluss/pluss-women-blue-abstract-smocked-dress/15598342/buy
15095246,plusS,Women Floral Sweetheart Neck Dress,Rs. 169,Rs. 1699,4,1.9k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15095246/2022/8/11/0ccf08e5-d13e-42cc-8a71-546cc15683a91660213967439-plusS-Women-Chic-Rust-Floral-Sweetheart-Neck-Dress-230166021-1.jpg",https://www.myntra.com/dresses/pluss/pluss-women-chic-rust-floral-sweetheart-neck-dress/15095246/buy
15598372,plusS,Floral Ruffled & Flounced Dress,Rs. 299,Rs. 2999,4.3,2.3k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15598372/2021/11/17/14dfb45d-7b3e-4cb5-aa34-a4ca859e4cf01637142960499-plusS-Women-Dresses-9491637142960149-1.jpg",https://www.myntra.com/dresses/pluss/pluss-women-gorgeous-green-floral-ruffled--flounced-dress/15598372/buy
15598362,plusS,Abstract Cinched Waist Dress,Rs. 244,Rs. 2449,4.2,4.4k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15598362/2021/11/17/86ab02ef-8cbf-4d72-8d83-5112264e09201637141866814-plusS-Women-Dresses-941637141866515-1.jpg",https://www.myntra.com/dresses/pluss/pluss-women-green-abstract-cinched-waist-dress/15598362/buy
8434851,plusS Studio,Denim Shirt Dress,Rs. 359,Rs. 3599,4.3,7.2k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/1/8/915f4c83-8c94-4ca1-8eec-deec739e59aa1546950694702-1.jpg",https://www.myntra.com/dresses/pluss+studio/pluss-studio-burgundy-ruffles-top/8434851/buy
20554706,plusS,Printed Fit & Flare Dress,Rs. 229,Rs. 2299,3.7,254,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20554706/2022/11/10/e333b78c-ab73-4c72-954a-cce6d3fec1ba1668077065337-plusS-Women-Dresses-1731668077064844-1.jpg",https://www.myntra.com/dresses/pluss/pluss-pink-smocked-printed-fit--flare-dress/20554706/buy
13914216,plusS,Solid Layered Wrap Dress,Rs. 269,Rs. 2699,4.3,872,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13914216/2021/4/14/f4f62962-3899-44eb-a02e-b43e3dd81fe61618383919676-plusS-Women-Dusty-Pink-Solid-Layered-Wrap-Dress-602161838391-1.jpg",https://www.myntra.com/dresses/pluss/pluss-women-dusty-pink-solid-layered-wrap-dress/13914216/buy
