id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
31965536,BAESD,Printed Maxi Puff Sleeve Dress,0,Rs. 2999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31965536/2024/12/13/a4f7a202-92a6-4d46-8ed3-500bc25068ae1734103186466BAESDFloralPrintKeyholeNeckPuffSleeveGeorgetteMaxiDress1.jpg",https://www.myntra.com/dresses/baesd/baesd-women-floral-printed-puff-sleeve-maxi-dress/31965536/buy
31971243,theRebelinme,A-Line Midi One Shoulder Puff Sleeve Dress,Rs. 2070,Rs. 3000,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31971243/2024/12/14/e7a4662d-e139-4804-b4f9-1ebe6ccd0c9e1734171134493theRebelinmeOneShoulderPuffSleeveA-LineMidiDress1.jpg",https://www.myntra.com/dresses/therebelinme/therebelinme-one-shoulder-puff-sleeve-a-line-midi-dress/31971243/buy
31952711,CIN CIN,Floral Print Maxi Dress,0,Rs. 7200,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31952711/2024/12/12/c21eca43-4a75-4b9d-ad45-8e385e377b261734027447368CINCINFloralPrintMaxiDress1.jpg",https://www.myntra.com/dresses/cin+cin/cin-cin-floral-print-maxi-dress/31952711/buy
31970424,LULU & SKY,Women Sheath Midi Dress,Rs. 2702,Rs. 6757,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31970424/2024/12/14/1d42a1db-906d-4901-a41a-f68b5a96a83c1734179439758LULUSKYSheathDress1.jpg",https://www.myntra.com/dresses/lulu+%26+sky/lulu--sky-women-v--neck-sheath-midi-dress-/31970424/buy
31970337,LULU & SKY,Maxi Bell Sleeve Dress,Rs. 2520,Rs. 6300,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31970337/2024/12/14/88d9d8c5-8ec2-44b6-a37a-18548fa51ec11734179428335LULUSKYBellSleeveMaxiDress1.jpg",https://www.myntra.com/dresses/lulu+%26+sky/lulu--sky-bell-sleeve-maxi-dress/31970337/buy
31939968,Fashfun,Striped Shirt Dress,Rs. 647,Rs. 1849,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31939968/2024/12/12/c978d74f-6643-4739-acc3-868616d810a11733983561473FashfunStripedCrepeFormalShirtDress1.jpg",https://www.myntra.com/dresses/fashfun/fashfun-striped-shirt-dress/31939968/buy
31970306,LULU & SKY,Maxi Halter Neck Dress,Rs. 2448,Rs. 6120,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31970306/2024/12/14/9c8a6cfa-87c1-4843-940b-c344c4f8b9f81734168094598LULUSKYHalterNeckMaxiDress1.jpg",https://www.myntra.com/dresses/lulu+%26+sky/lulu--sky-women-halter-neck-bodycon-maxi-dress/31970306/buy
31969573,DressBerry,Sleeveless Bodycon Dress,Rs. 875,Rs. 5149,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31969573/2024/12/14/2de97057-18c7-4469-835c-fdf0d3b8bea91734173054028DressBerryGeorgetteBodyconDress1.jpg",https://www.myntra.com/dresses/dressberry/dressberry-women-sleeveless-bodycon-dress/31969573/buy
31976192,LADY SHOPI,Embroidered Net Fit & Flare Maxi Dress,0,Rs. 2299,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31976192/2024/12/14/f4bf45a4-9f61-4860-b088-c47f4ea583921734187606327LADYSHOPIEmbroideredNetFitFlareMaxiDress1.jpg",https://www.myntra.com/dresses/lady+shopi/lady-shopi-embroidered-net-fit--flare-maxi-dress/31976192/buy
31965863,Roadster,Women Fit & Flared Dress,Rs. 799,Rs. 1999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31965863/2024/12/14/10469ecf-c4e8-44ad-9cdc-0178177940a21734125410903Dresses1.jpg",https://www.myntra.com/dresses/roadster/the-roadster-lifestyle-co-women-floral-printed-fit--flared-dress/31965863/buy
