id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
30685109,StyleCast,Bodycon Midi Dress,Rs. 698,Rs. 1649,4.3,684,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/22/BZgJa92w_6ce1b2a6b8954c61bdbaf64240607079.jpg",https://www.myntra.com/dresses/stylecast/stylecast-bodycon-midi-dress/30685109/buy
25892106,H&M,Ruched Sleeve Wrap Dress,0,Rs. 1799,4,908,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25892106/2024/10/24/1aaf1645-3589-4aee-80de-3ed6ff7df3751729768804020-HM-Ruched-Sleeve-Wrap-Dress-5241729768803665-1.jpg",https://www.myntra.com/dresses/h%26m/hm-ruched-sleeve-wrap-dress/25892106/buy
25323250,StyleCast,Bodycon Maxi Dress,Rs. 1199,Rs. 3149,4.3,1.3k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25323250/2023/10/5/31a1cef6-74e2-492b-ae4b-958f338fea2d1696448955699StyleCastRedBodyconMaxiDress1.jpg",https://www.myntra.com/dresses/stylecast/stylecast-red-shoulder-straps-bodycon-maxi-dress/25323250/buy
31660332,StyleCast x Revolte,Women A-Line Midi Dress,Rs. 1382,Rs. 3949,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/18/8AfypiEK_50a3790a70704c848c571e5b8a059cac.jpg",https://www.myntra.com/dresses/stylecast+x+revolte/stylecast-x-revolte-women-a-line-midi-dress/31660332/buy
28688510,OCTICS,Floral Fit & Flare Dress,Rs. 1246,Rs. 4299,4.1,1.2k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28688510/2024/10/12/eb5a9dfc-ffc2-4a09-a77a-d924cef3f9561728727310894-OCTICS-Floral-Printed-Fit--Flare-Dress-6831728727310233-1.jpg",https://www.myntra.com/dresses/octics/octics-floral-printed-fit--flare-dress/28688510/buy
21334304,anayna,Floral A-Line Midi Ethnic Dress,Rs. 998,Rs. 2698,4.4,25.9k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21334304/2023/10/4/10d96212-4d28-447f-8ab7-cd15b91e503f1696406650695-anayna-Red-Floral-Ethnic-A-Line-Cotton-Midi-Ethnic-Dress-764-6.jpg",https://www.myntra.com/ethnic-dresses/anayna/anayna-red-floral-ethnic-a-line-cotton-midi-ethnic-dress/21334304/buy
24956644,SASSAFRAS,Long Sleeve Bodycon Midi Dress,Rs. 809,Rs. 1799,4.3,3.1k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24956644/2023/9/14/7f49e3cc-519f-4869-8db2-2f48184fcb521694676274940SASSAFRASBlackBodyconMidiDress1.jpg",https://www.myntra.com/dresses/sassafras/sassafras-long-sleeve-bodycon-midi-dress/24956644/buy
31080404,Claura,Mandarin Collar A-Line Dress,Rs. 1159,Rs. 2899,4.3,1.6k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/24/FnCr5ye3_6e278e8c33174657b8cb55b6fadd0ccc.jpg",https://www.myntra.com/dresses/claura/claura-women-abstract-printed-mandarin-collar-a-line-dress/31080404/buy
31239812,KALINI,Georgette Dresses With Dupatta,Rs. 2699,Rs. 7999,4,95,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/8/6sobhthj_22f81198002641f99a1af6e7452f2664.jpg",https://www.myntra.com/ethnic-dresses/kalini/kalini-georgette-maxi-ethnic-dresses-with-dupatta/31239812/buy
31375705,Claura,Women Fit & Flare Midi Dress,Rs. 985,Rs. 2899,4.3,118,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/21/6yluxQL3_d01b23632c1c409ba30c65d6ecb9ca15.jpg",https://www.myntra.com/dresses/claura/claura-women-floral-printed--fit--flare-midi-dress/31375705/buy
