id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
30189507,Levis,Women726 Flared Fit Jeans,Rs. 2879,Rs. 4799,5,6,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30189507/2024/11/28/0bc9a7cb-3b5d-46e9-a9a1-681dbd4216581732794299174-Levis-Women-Jeans-7701732794298521-1.jpg",https://www.myntra.com/jeans/levis/levis-women-726-flared-fit-high-rise-light-fade-stretchable-jeans/30189507/buy
30189487,Levis,Women Bootcut High-Rise Jeans,Rs. 2819,Rs. 4699,5,5,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30189487/2024/9/17/e63ace77-cdc9-49be-af49-cddd6fc03ded1726566451778-Levis-Women-Jeans-9541726566451122-1.jpg",https://www.myntra.com/jeans/levis/levis-women-725-slim-bootcut-high-rise-stretchable-jeans/30189487/buy
30189516,Levis,Women Bootcut High-Rise Jeans,Rs. 2579,Rs. 4299,5,14,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30189516/2024/8/30/e5f00799-d086-4c98-b5f6-d44436c038f61725002743882-Levis-Women-Jeans-6361725002743302-1.jpg",https://www.myntra.com/jeans/levis/levis-women-bootcut-high-rise-light-fade-stretchable-jeans/30189516/buy
30616607,Levis,Women Skinny Fit Jeans,Rs. 2279,Rs. 3799,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30616607/2024/11/25/5540451a-a947-425d-aefb-e00d7b6cb71f1732533458373-Levis-Women-721-Skinny-Fit-High-Rise-Heavy-Fade-Stretchable--1.jpg",https://www.myntra.com/jeans/levis/levis-women-721-skinny-fit-high-rise-heavy-fade-stretchable-jeans/30616607/buy
30189573,Levis,Women Taper High-Rise Jeans,Rs. 2279,Rs. 3799,5,5,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30189573/2024/10/22/a13c773b-8339-421f-ac54-b7cdbe7e358f1729574563890-Levis-Women-Loose-Tapered-Fit-High-Rise-Heavy-Fade-Stretchab-1.jpg",https://www.myntra.com/jeans/levis/levis-women-loose-tapered-fit-high-rise-heavy-fade-stretchable-jeans/30189573/buy
30617126,Levis,Women Wide Leg Baggy Jeans,Rs. 2579,Rs. 4299,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30617126/2024/9/25/0e610a7e-cd4d-41cf-9a2b-cf1598f9acf41727251836730-Levis-Women-Jeans-3621727251836111-1.jpg",https://www.myntra.com/jeans/levis/levis-women-94-baggy-wide-leg-light-fade-stretchable-jeans/30617126/buy
31057940,Vero Moda,Women Skinny Fit Jeans,Rs. 1959,Rs. 2799,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/23/FRsq2g9q_9bc862ba538d40b981ba6e0d0821dfeb.jpg",https://www.myntra.com/jeans/vero+moda/vero-moda-women-skinny-fit-high-rise-clean-look-stretchable-jeans/31057940/buy
29266716,Levis,Pure Cotton Cargo Jeans,Rs. 1899,Rs. 3799,5,7,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29266716/2024/5/17/12e03d44-804b-4d3e-ac38-33e8259daf211715942366876-Levis-Women-Jeans-3551715942366300-1.jpg",https://www.myntra.com/jeans/levis/levis-women-pure-cotton-bootcut-light-fade-cargo-jeans/29266716/buy
26337580,Lee,Women Slim Fit High-Rise Jeans,Rs. 1799,Rs. 3599,5,5,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26337580/2023/12/9/6c5171c0-0f5f-4cb0-8410-fb129af6f0e31702097634477LeeWomenBlueSlimFitHigh-RiseStretchableJeans4.jpg",https://www.myntra.com/jeans/lee/lee-women-light-fade-slim-fit-high-rise-stretchable-jeans/26337580/buy
29758370,Roadster,Women Bootcut High-Rise Jeans,Rs. 1103,Rs. 2399,5,6,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29758370/2024/11/8/36ec70a6-14d3-44a7-b37a-deac2c8d79bf1731056350105-Roadster-Women-Jeans-5361731056349577-4.jpg",https://www.myntra.com/jeans/roadster/the-roadster-lifestyle-co-women-bootcut-fit-high-rise-jeans/29758370/buy
30139561,Sztori,Plus Size Women Relaxed Jeans,Rs. 1169,Rs. 2999,5,11,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30139561/2024/9/23/24573526-d2f7-47a6-ba13-92ca1f51c83f1727076212949-Sztori-Women-Jeans-9231727076212396-1.jpg",https://www.myntra.com/jeans/sztori/sztori-plus-size-women-relaxed-fit-light-fade-stretchable-jeans/30139561/buy
31027941,Roadster,Pure Cotton Jeans,Rs. 1304,Rs. 2899,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31027941/2024/11/21/0c721549-6553-4392-9ad3-1d4456da4dfa1732189449094-Roadster-Women-Jeans-981732189448529-1.jpg",https://www.myntra.com/jeans/roadster/the-roadster-life-co-women-wide-leg-baggy-fit-heavy-fade-pure-cotton-jeans/31027941/buy
29847960,VERO MODA CURVE,Women Wide Leg High-Rise Jeans,Rs. 1799,Rs. 3999,5,5,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29847960/2024/5/29/fa2140c1-31ba-4551-a235-0c4740aaebdf1716989892078VEROMODACURVEWomenWideLegHigh-RiseSlashKneeStretchableJeans1.jpg",https://www.myntra.com/jeans/vero+moda+curve/vero-moda-curve-women-wide-leg-high-rise-clean-look-stretchable-jeans/29847960/buy
31027936,Roadster,Women Slim Flared Jeans,Rs. 1169,Rs. 2599,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31027936/2024/12/2/397a21f0-27d7-46fd-8a3d-6809a9d6eb051733131748989-Roadster-Women-Jeans-1911733131748260-1.jpg",https://www.myntra.com/jeans/roadster/the-roadster-life-co-women-slim-flared-high-rise-stretchable-jeans/31027936/buy
30591550,Madame,Women Jeans,Rs. 2699,Rs. 4499,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/16/ZY3QRodJ_1b4e990aa37447f5b5bb692787edcc22.jpg",https://www.myntra.com/jeans/madame/madame-women-low-distress-heavy-fade-jeans/30591550/buy
31342511,FREAKINS,High-Rise Slouchy Fit Jeans,Rs. 2161,Rs. 4699,5,5,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/17/80RymCDU_d15c55ac0def4ab0a8a5753d33c73bac.jpg",https://www.myntra.com/jeans/freakins/freakins-women-loose-high-rise-slouchy-fit-jeans/31342511/buy
29034454,all about you,Women Mom Fit High-Rise Jeans,Rs. 1119,Rs. 2799,5,5,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29034454/2024/11/4/6d43153f-6d63-4160-8ca3-8fb497d8d9571730714915322-all-about-you-Women-Mom-Fit-High-Rise-Stretchable-Jeans-2071-1.jpg",https://www.myntra.com/jeans/all+about+you/all-about-you-women-mom-fit-high-rise-stretchable-jeans/29034454/buy
