id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
25123836,BAESD,Women Skinny Fit Jeans,Rs. 599,Rs. 5449,3.5,50,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25123836/2024/12/17/caa394b4-8a14-456e-a5e3-5e5a920308e11734421476058-BAESD-Women-Skinny-Fit-High-Rise-Clean-Look-Stretchable-Jean-1.jpg",https://www.myntra.com/jeans/baesd/baesd-women-skinny-fit-high-rise-clean-look-stretchable-jeans/25123836/buy
25123888,BAESD,Women Stretchable Jeans,Rs. 599,Rs. 4999,2.9,32,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25123888/2024/12/17/420c3201-ba53-4562-92c7-0adc6ff1d5f31734421656362-BAESD-Women-Skinny-Fit-High-Rise-Stretchable-Jeans-586173442-1.jpg",https://www.myntra.com/jeans/baesd/baesd-women-skinny-fit-high-rise-stretchable-jeans/25123888/buy
25123842,BAESD,Women Cotton Stretchable Jeans,Rs. 599,Rs. 4999,3.5,8,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25123842/2024/12/17/cdd2fa6d-7e93-4392-b038-dcb6d77b28861734421489864-BAESD-Women-Skinny-Fit-Mid-Rise-Cotton-Stretchable-Jeans-615-1.jpg",https://www.myntra.com/jeans/baesd/baesd-women-skinny-fit-mid-rise-cotton-stretchable-jeans/25123842/buy
25996038,BAESD,Skinny Fit High-Rise Jeans,Rs. 599,Rs. 4699,3.3,58,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25996038/2024/12/17/7c151744-dd87-4233-ae68-574fa69085541734421507715-BAESD-Women-Skinny-Fit-High-Rise-Stretchable-Jeans-807173442-1.jpg",https://www.myntra.com/jeans/baesd/baesd-women-skinny-fit-high-rise-stretchable-jeans/25996038/buy
25123866,BAESD,Women Skinny Fit Jeans,Rs. 699,Rs. 5449,4.3,8,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25123866/2024/12/17/1549b204-8e1b-4178-a529-544b0baebede1734421495004-BAESD-Women-Skinny-Fit-Clean-Look-Stretchable-Jeans-11917344-1.jpg",https://www.myntra.com/jeans/baesd/baesd-women-skinny-fit-clean-look-stretchable-jeans/25123866/buy
28206750,AAHWAN,Women Denim Flared Jeans,0,Rs. 4999,2.9,137,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28206750/2024/3/12/0cabba14-57a3-4a43-b804-60c57fb506711710240840170AAHWANWomenSlimFitHigh-RiseStretchableJeans1.jpg",https://www.myntra.com/jeans/aahwan/aahwan-women-high-rise-clean-look-stretchable-denim-flared-jeans/28206750/buy
29441374,High Star,Women High-Rise Jeans,Rs. 389,Rs. 2999,4.2,5,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29441374/2024/5/9/61278671-cd08-4442-9dd2-392c796cbb6b1715267050295HighStarWomenHigh-RiseLowDistressJeans1.jpg",https://www.myntra.com/jeans/high+star/high-star-women-high-rise-low-distress-jeans/29441374/buy
31354727,AAHWAN,Women High-Rise Jeans,Rs. 690,Rs. 4999,3.7,9,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/18/HcCuqLhI_5272f7742f6d4306b879f3e33a737899.jpg",https://www.myntra.com/jeans/aahwan/aahwan-women-cotton-high-rise-mildly-distressed-jeans/31354727/buy
27389350,Stylecast X Kotty,Women Straight Fit Jeans,Rs. 419,Rs. 2999,3.8,20,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27389350/2024/2/5/747b7a0d-6301-4ea9-b9a0-91bb32cd2d151707127405834StylecastXKottyWomenJeanStraightFitHigh-RiseLowDistressStret1.jpg",https://www.myntra.com/jeans/stylecast+x+kotty/stylecast-x-kotty-women-jean-straight-fit-high-rise-stretchable-jeans/27389350/buy
28121576,BAESD,Women Skinny Fit Jeans,Rs. 599,Rs. 4199,3.1,27,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28121576/2024/12/17/d733350a-32a7-4cc9-9d3a-f7e531edd2271734421511999-BAESD-Women-Skinny-Fit-High-Rise-Clean-Look-Stretchable-Jean-1.jpg",https://www.myntra.com/jeans/baesd/baesd-women-skinny-fit-high-rise-clean-look-stretchable-jeans/28121576/buy
17519040,plusS,Women Regular Jeans,Rs. 389,Rs. 2599,4.1,809,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17519040/2022/4/4/6c16cd32-459a-433c-b8f3-018824892edd1649065155012-plusS-Women-Jeans-5911649065154573-1.jpg",https://www.myntra.com/jeans/pluss/pluss-women-stunning-blue-regular-fit-stretchable-jeans/17519040/buy
23966758,plusS,Women Stretchable Cotton Jeans,Rs. 449,Rs. 2999,4.2,158,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23966758/2023/7/11/b897d348-9340-4e6d-b5b2-69e91ba7b0e21689064123942plusSWomenBlueLowDistressStretchableJeans1.jpg",https://www.myntra.com/jeans/pluss/pluss-women-blue-low-distress-stretchable-cotton-jeans/23966758/buy
23099704,plusS,Women Stretchable Cotton Jeans,Rs. 449,Rs. 2999,4.2,150,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23099704/2023/5/9/696a53a9-e1c5-4d6c-9d04-12b3872e4a771683631403315plusSWomenBlueSlashKneeStretchableJeans1.jpg",https://www.myntra.com/jeans/pluss/pluss-women-blue-mid-rise-stretchable-cotton-jeans/23099704/buy
29435438,plusS,Women Clean Look Jeans,Rs. 479,Rs. 3199,4.6,11,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29435438/2024/5/9/c883eeaa-77fc-40a9-b724-d3950a0ed6011715251811889plusSWomenLowDistressStretchableJeans1.jpg",https://www.myntra.com/jeans/pluss/pluss-women-clean-look-mid-rise-stretchable-jeans/29435438/buy
17519080,plusS,Women Bootcut Jeans,Rs. 389,Rs. 2599,4.3,321,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17519080/2022/4/4/fcfb8c82-606f-43ba-8325-1943ba96bfd41649065258640-plusS-Women-Jeans-6421649065258195-1.jpg",https://www.myntra.com/jeans/pluss/pluss-women-stunning-blue-bootcut-fit-stretchable-jeans/17519080/buy
29435452,plusS,Women High-Rise Cotton Jeans,Rs. 554,Rs. 3699,4.2,5,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29435452/2024/5/9/6224cf56-5c77-47eb-a256-5e77701400e71715250251177plusSWomenSlashKneeStretchableJeans1.jpg",https://www.myntra.com/jeans/pluss/pluss-women-blue-high-rise-clean-look-heavy-fade-frayed-hem-cotton-jeans/29435452/buy
23966756,plusS,Women Stretchable Cotton Jeans,Rs. 449,Rs. 2999,4,56,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23966756/2023/7/11/d00e42d0-4dba-4aa7-9422-6b47b09e62291689062720998plusSWomenBlueLowDistressHeavyFadeStretchableJeans1.jpg",https://www.myntra.com/jeans/pluss/pluss-women-blue-low-distress-heavy-fade-stretchable-cotton-jeans/23966756/buy
28542992,LULU & SKY,Women Skinny Fit Jeans,Rs. 734,Rs. 4899,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28542992/2024/3/27/3d19e937-ea70-4eca-a48d-bbc2b1ea060e1711557599627LULUSKYWomenSkinnyFitHigh-RiseJeans1.jpg",https://www.myntra.com/jeans/lulu+%26+sky/lulu--sky-women-skinny-fit-high-rise-clean-look-stretchable-jeans/28542992/buy
28542990,LULU & SKY,Women Flared Mid-Rise Jeans,Rs. 734,Rs. 4899,4.4,5,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28542990/2024/3/27/fa7ea080-9f53-428d-9594-543e6e88c0e71711554157856LULUSKYWomenFlaredHigh-RiseJeans1.jpg",https://www.myntra.com/jeans/lulu+%26+sky/lulu--sky-women-flared-mid-rise-dark-shade-clean-look-stretchable-cropped-jeans/28542990/buy
26124178,High Star,Women Bootcut High-Rise Jeans,Rs. 494,Rs. 3299,4.3,22,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26124178/2023/11/29/518594f4-0130-446a-bcb6-fc3e8f1dec091701263392042HighStarWomenBlueBootcutHigh-RiseStretchableJeans1.jpg",https://www.myntra.com/jeans/high+star/high-star-women-bootcut-high-rise-clean-look-stretchable-cropped-jeans/26124178/buy
28543002,LULU & SKY,Women Flared Mid-Rise Jeans,Rs. 734,Rs. 4899,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28543002/2024/3/27/2a1260ec-3fc3-4003-aa65-6e6b5cda3bf81711555306581LULUSKYWomenFlaredHigh-RiseJeans1.jpg",https://www.myntra.com/jeans/lulu+%26+sky/lulu--sky-women-flared-mid-rise-dark-shade-clean-look-stretchable-cropped-jeans/28543002/buy
26190328,DressBerry Glam,Women Studded Wide Leg Jeans,Rs. 375,Rs. 2499,4,345,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/24/Aeduu9jZ_4440ead6a44d4a4a9c72b9f47fa8e730.jpg",https://www.myntra.com/jeans/dressberry+glam/dressberry-glam-women-funky-flare-studded-wide-leg-jeans/26190328/buy
26190370,DressBerry,Women Printed Slouchy Jeans,Rs. 375,Rs. 2499,3.6,210,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/19/Gppds0oq_4e45824b950844d0b75579c043a11cb9.jpg",https://www.myntra.com/jeans/dressberry/dressberry-women-soft-twist-tropical-printed-slouchy-fit-jeans/26190370/buy
26190350,DressBerry,Women Wide Leg Jeans,Rs. 375,Rs. 2499,4,352,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/20/yOZIYxGQ_6c7d9dfc31a340f0bd8924f6f4acaaba.jpg",https://www.myntra.com/jeans/dressberry/dressberry-women-y2k-revival-wide-leg-printed-stretchable-jeans/26190350/buy
26190330,DressBerry Basics,Women Slouchy Fit Jeans,Rs. 375,Rs. 2499,3.6,200,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/23/iReByk4X_fbc5f07967f44808a2d988140a70f7d4.jpg",https://www.myntra.com/jeans/dressberry+basics/dressberry-basics-women-grunge-blend-slouchy-fit-stretchable-studs-detail-jeans/26190330/buy
26190358,DressBerry,Women Slouchy Fit Jeans,Rs. 375,Rs. 2499,3.6,212,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/19/sHMKEZvs_df9ea40aa8cd423688bafa6a0ef563c5.jpg",https://www.myntra.com/jeans/dressberry/dressberry-women-monochromatic-grunge-tropical-printed-slouchy-fit-jeans/26190358/buy
26386886,DressBerry,Women Straight Fit Jeans,Rs. 375,Rs. 2499,4.5,70,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/19/9717eWCu_56ca4a8b0db34763bf6a9f5390639a4d.jpg",https://www.myntra.com/jeans/dressberry/dressberry-women-girly-grunge-straight-fit-printed-jeans/26386886/buy
26873742,DressBerry,Women Boyfriend Fit Jeans,Rs. 360,Rs. 2399,4,56,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/13/vk9MDXmF_234cc7e998914685b4fe6f74f1788b7c.jpg",https://www.myntra.com/jeans/dressberry/dressberry-women-quirky-sequins-high-rise-applique-boyfriend-fit-stretchable-jeans/26873742/buy
26873814,DressBerry,Women Applique Boyfriend Jeans,Rs. 360,Rs. 2399,3.9,42,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/13/6MaIe0R9_9f5297b346f64a79856a4983e594d030.jpg",https://www.myntra.com/jeans/dressberry/dressberry-women-back-to-school-applique-boyfriend-fit-stretchable--jeans/26873814/buy
