id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
32006529,H&M,Flared High Jeans,0,Rs. 1499,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32006529/2024/12/18/ee951384-fc22-46d3-8685-7af90f38acaf1734526018605FlaredHighJeans1.jpg",https://www.myntra.com/jeans/h%26m/-hm-flared-high-jeans/32006529/buy
31970715,zayla,Women Wide Leg High-Rise Jeans,0,Rs. 1999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31970715/2024/12/14/838e8be0-21a9-4c8f-bd8d-e0a3f2ed2c171734162949157zaylaWomenComfortWideLegHigh-RiseStretchableJeans1.jpg",https://www.myntra.com/jeans/zayla/zayla-women-comfort-wide-leg-high-rise-stretchable-jeans/31970715/buy
31957266,Xpose,Straight Fit High-Rise Jeans,Rs. 2039,Rs. 2399,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31957266/2024/12/13/cea4d66b-fe85-414a-82e8-b1b476b72b481734079658431XposeWomenComfortStraightFitHigh-RiseStretchableJeans1.jpg",https://www.myntra.com/jeans/xpose/xpose-women-comfort-straight-fit-high-rise-stretchable-jeans/31957266/buy
31971365,Madame,Women Jeans,Rs. 1869,Rs. 2199,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31971365/2024/12/14/f2ae49b0-0dcd-4abc-96ed-d02468f007681734170043895MadameWomenSlashKneeJeans1.jpg",https://www.myntra.com/jeans/madame/madame-women-slash-knee-jeans/31971365/buy
31949052,DressBerry,Women Skinny Fit Jeans,Rs. 1175,Rs. 4199,3.5,15,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31949052/2024/12/18/fcf32ff7-3c62-4b0a-9c27-d014944770db1734507450813-DressBerry-Women-Skinny-Fit-High-Rise-Light-Fade-Stretchable-1.jpg",https://www.myntra.com/jeans/dressberry/dressberry-women-skinny-fit-high-rise-light-fade-stretchable-cotton-jeans/31949052/buy
31488011,mama & bebe,Women Maternity Jeans,Rs. 795,Rs. 1395,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31488011/2024/12/14/ba501352-55e5-484c-9e62-fc350ffbac771734171047298-mama--bebe-Women-Comfort-Mom-Fit-High-Rise-Trousers-68417341-1.jpg",https://www.myntra.com/jeans/mama+%26+bebe/mama--bebe-women-maternity-denim-jeans/31488011/buy
31949049,DressBerry,Women High-Rise Wide Leg Jeans,Rs. 1398,Rs. 3679,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31949049/2024/12/18/1fa2f463-f437-48a3-8641-cfddbb2e7cbf1734507427392-DressBerry-Women--High-Rise-Heavy-Fade-Wide-Leg-Stretchable--1.jpg",https://www.myntra.com/jeans/dressberry/dressberry-women--high-rise-heavy-fade-wide-leg-stretchable-jeans/31949049/buy
31941620,Perfect Outlet,Women Wide Leg High-Rise Jeans,Rs. 944,Rs. 2699,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31941620/2024/12/12/11781475-8520-47ad-9975-b3a0fd8d510a1734012064074PerfectOutletWomenWideLegHigh-RiseStretchableJeans1.jpg",https://www.myntra.com/jeans/perfect+outlet/perfect-outlet-women-wide-leg-high-rise-stretchable-jeans/31941620/buy
31982324,FASHIONFIBRE,Women Wide Leg High-Rise Jeans,Rs. 1859,Rs. 2999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31982324/2024/12/16/e8f97611-16d0-431e-bfc3-7424c37832281734343642046FASHIONFIBREWomenComfortWideLegHigh-RiseLightFadeJeans1.jpg",https://www.myntra.com/jeans/fashionfibre/fashionfibre-women-comfort-wide-leg-high-rise-light-fade-jeans/31982324/buy
32005568,Tommy Hilfiger,Women Jeans,0,Rs. 6999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32005568/2024/12/18/32e59d70-ba5a-4969-90fb-8ffd291190971734522942992TommyHilfigerWomenHighlyDistressedStretchableJeans1.jpg",https://www.myntra.com/jeans/tommy+hilfiger/tommy-hilfiger-women-highly-distressed-stretchable-jeans/32005568/buy
