id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
30064946,H&M,Wide Ultra High Jeans,0,Rs. 1999,4,1.5k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30064946/2024/6/28/1b1dfb68-0db1-466b-9ca4-78f5f0aac2a51719569315276WideUltraHighJeans1.jpg",https://www.myntra.com/jeans/h%26m/-hm-wide-ultra-high-jeans-/30064946/buy
22216396,Kotty,Women Pack Of 2 Jeans,Rs. 1259,Rs. 2999,3.8,10.9k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22216396/2023/3/4/f2d79dd1-7aab-4e62-9392-c1416e4f7bb11677908822636KottyWomenMulticolouredJeanStraightFitHigh-RiseStretchableJe1.jpg",https://www.myntra.com/jeans/kotty/kotty-women-pack-of-2-straight-fit-high-rise-stretchable-jeans/22216396/buy
17575912,H&M,Women Skinny High Jeans,0,Rs. 1499,4,11.9k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17575912/2022/3/19/d2301cf2-86f2-422f-9937-c460f7a39e731647681927365SkinnyHighJeans1.jpg",https://www.myntra.com/jeans/h%26m/hm-women-blue-skinny-high-jeans/17575912/buy
26542028,H&M,Women Skinny High Jeans,0,Rs. 1299,4.3,1.9k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26542028/2023/12/20/946aa33e-f6a9-44de-8f9f-2f38965f64f41703061218252SkinnyHighJeans1.jpg",https://www.myntra.com/jeans/h%26m/hm-women-skinny-high-jeans/26542028/buy
22241406,Flying Machine,Women Straight Fit High-Rise Jeans,Rs. 1391,Rs. 2399,4,1.8k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22241406/2023/3/6/d7ec7c55-5419-44a7-bf2d-c43f61e2b45b1678105623241FlyingMachineWomenBlueStraightFitHigh-RiseLightFadeJeans1.jpg",https://www.myntra.com/jeans/flying+machine/flying-machine-women-straight-fit-high-rise-light-fade-cottonjeans/22241406/buy
27201002,MANGO,Women Fiona Flared Fit Jeans,Rs. 2753,Rs. 3990,3.5,45,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27201002/2024/8/5/10d62fbd-419d-4d6c-ac71-35ae4bbd50e31722851699489-MANGO-Women-Jeans-2111722851698780-1.jpg",https://www.myntra.com/jeans/mango/mango-women-fiona-flared-fit-heavy-fade-stretchable-jeans/27201002/buy
24741920,ONLY,Women Flared High-Rise Jeans,Rs. 1874,Rs. 2499,4.1,332,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24741920/2024/2/16/4d582d0c-99e0-4205-9645-2c62138057191708075454603ONLYWomenFlaredHigh-RiseStretchableJeans1.jpg",https://www.myntra.com/jeans/only/only-women-flared-high-rise-stretchable-jeans/24741920/buy
17813622,Trendyol,Women Flared High-Rise Jeans,Rs. 2474,Rs. 3299,3.9,1.4k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17813622/2022/5/5/fcd88e82-82d3-4b1f-8e7f-6d73007851951651734127058-Trendyol-Women-Blue-Flared-High-Rise-Light-Fade-Stretchable--1.jpg",https://www.myntra.com/jeans/trendyol/trendyol-women-blue-flared-high-rise-light-fade-stretchable-jeans/17813622/buy
20412312,H&M,Women Skinny High Jeans,0,Rs. 1499,4,11.9k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20412312/2022/10/15/7a9088b6-4c5c-4f38-b327-944a983c9f911665815553241SkinnyHighJeans3.jpg",https://www.myntra.com/jeans/h%26m/hm-women-skinny-high-jeans/20412312/buy
27477884,H&M,Women Slim Straight High Jeans,0,Rs. 1999,4.2,1.9k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27477884/2024/2/9/0083bb34-8724-492e-a7e9-854c6cabf6da1707472522404SlimStraightHighJeans1.jpg",https://www.myntra.com/jeans/h%26m/hm-women-slim-straight-high-jeans/27477884/buy
