id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
,,,,,,,,
22216396,Kotty,Women Pack Of 2 Jeans,Rs. 1259,Rs. 2999,3.8,10.9k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22216396/2023/3/4/f2d79dd1-7aab-4e62-9392-c1416e4f7bb11677908822636KottyWomenMulticolouredJeanStraightFitHigh-RiseStretchableJe1.jpg",https://www.myntra.com/jeans/kotty/kotty-women-pack-of-2-straight-fit-high-rise-stretchable-jeans/22216396/buy
,,,,,,,,
,,,,,,,,
22241406,Flying Machine,Women Straight Fit High-Rise Jeans,Rs. 1391,Rs. 2399,4,1.8k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22241406/2023/3/6/d7ec7c55-5419-44a7-bf2d-c43f61e2b45b1678105623241FlyingMachineWomenBlueStraightFitHigh-RiseLightFadeJeans1.jpg",https://www.myntra.com/jeans/flying+machine/flying-machine-women-straight-fit-high-rise-light-fade-cottonjeans/22241406/buy
,,,,,,,,
27201002,MANGO,Women Fiona Flared Fit Jeans,Rs. 2753,Rs. 3990,3.5,45,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27201002/2024/8/5/10d62fbd-419d-4d6c-ac71-35ae4bbd50e31722851699489-MANGO-Women-Jeans-2111722851698780-1.jpg",https://www.myntra.com/jeans/mango/mango-women-fiona-flared-fit-heavy-fade-stretchable-jeans/27201002/buy
24741920,ONLY,Women Flared High-Rise Jeans,Rs. 1874,Rs. 2499,4.1,330,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24741920/2024/2/16/4d582d0c-99e0-4205-9645-2c62138057191708075454603ONLYWomenFlaredHigh-RiseStretchableJeans1.jpg",https://www.myntra.com/jeans/only/only-women-flared-high-rise-stretchable-jeans/24741920/buy
17813622,Trendyol,Women Flared High-Rise Jeans,Rs. 2474,Rs. 3299,3.9,1.4k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17813622/2022/5/5/fcd88e82-82d3-4b1f-8e7f-6d73007851951651734127058-Trendyol-Women-Blue-Flared-High-Rise-Light-Fade-Stretchable--1.jpg",https://www.myntra.com/jeans/trendyol/trendyol-women-blue-flared-high-rise-light-fade-stretchable-jeans/17813622/buy
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
25806706,Levis,Women Skinny Fit Jeans,Rs. 1739,Rs. 2899,4.3,2.5k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25806706/2024/2/15/3e4c40fb-2e40-486f-8383-12672ed972521707997041375-Levis-Women-Jeans-2421707997040835-1.jpg",https://www.myntra.com/jeans/levis/levis-women-711-skinny-fit-stretchable-jeans/25806706/buy
,,,,,,,,
30616567,Levis,Women 726 Slim Flared Jeans,Rs. 1899,Rs. 3799,4.2,9,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30616567/2024/10/22/3ddc527b-a425-4b62-b4f4-ff217e75febf1729574462828-Levis-Women-726-Slim-Flared-Fit-High-Rise-Mildly-Distressed--1.jpg",https://www.myntra.com/jeans/levis/levis-women-726-slim-flared-fit-high-rise-mildly-distressed-light-fade-stretchable-jeans/30616567/buy
29792360,FASHIONFIBRE,Women Straight Fit Jeans,Rs. 1349,Rs. 2999,4.2,440,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29792360/2024/5/25/e8fb4bbb-243b-44f2-9f39-adbe7f8ca99e1716637300703FASHIONFIBREWomenStraightFitHigh-RiseLightFadeStretchableJea1.jpg",https://www.myntra.com/jeans/fashionfibre/fashionfibre-women-straight-fit-high-rise-clean-look-light-fade-whiskers-cotton-jeans/29792360/buy
21153540,Kotty,Women Straight Fit Jeans,Rs. 649,Rs. 2499,3.6,7k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21153540/2022/12/10/e5da7fa1-3610-42a3-b48d-4c7c0f2eada51670672917684Jeans1.jpg",https://www.myntra.com/jeans/kotty/kotty-women-straight-fit-jeans/21153540/buy
30646236,StyleCast,Women Wide Leg High-Rise Jeans,Rs. 929,Rs. 2949,3.8,134,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/20/oakJmK9j_5409663085914d158e60edebd8064ca0.jpg",https://www.myntra.com/jeans/stylecast/stylecast-women-wide-leg-high-rise-low-distress-light-fade-jeans/30646236/buy
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
