id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
31672320,LeeliPeeri Designer,Heavy Work Saree,Rs. 1899,Rs. 9999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/19/qP9PfVq6_b31fabe8b65a4e7e81214e0e16480d55.jpg",https://www.myntra.com/sarees/leelipeeri+designer/leelipeeri-designer-embellished-embroidered-heavy-work-saree/31672320/buy
30454965,KALKI Fashion,Zari Pure Georgette Saree,0,Rs. 7995,5,8,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/3/URWs3rB4_6ea385bc25b84fb394cdc9ad26ecab0e.jpg",https://www.myntra.com/sarees/kalki+fashion/kalki-fashion-woven-design-zari-pure-georgette-saree/30454965/buy
31324031,Kalista,Organza Ready to Wear Saree,Rs. 1709,Rs. 9495,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/16/nnV2zZl7_d360119e11d7442a8b176cdd81b8a33c.jpg",https://www.myntra.com/sarees/kalista/kalista-embellished-organza-ready-to-wear-saree/31324031/buy
31471478,Koskii,Woven Design Banarasi Saree,Rs. 5391,Rs. 5990,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/2/J0vyYBue_5af81c12936643828be514a36c681fb8.jpg",https://www.myntra.com/sarees/koskii/koskii-woven-design-zari--banarasi-saree/31471478/buy
30454305,KALKI Fashion,Floral Silk Blend Saree,0,Rs. 3995,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/3/FLmiS2rg_708d629bcbc7428a8047951eb6374fcb.jpg",https://www.myntra.com/sarees/kalki+fashion/kalki-fashion-floral-zari-silk-blend-saree/30454305/buy
30044370,RICH & ROMAN,Banarasi Pure Silk Saree,Rs. 794,Rs. 1499,4.1,283,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30044370/2024/6/28/34764f5a-9f1b-44b8-bbba-a56de8ece8421719523838156RICHROMANWovenDesignZariPureSilkBanarasiSaree1.jpg",https://www.myntra.com/sarees/rich+%26+roman/rich--roman-ethnic-motifs-woven-design-zari-pure-silk-banarasi-saree/30044370/buy
30820598,Sangria,Saree With Unstitched Blouse,Rs. 1819,Rs. 6499,5,5,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/5/K5ZLawoa_7c8237f8828844fc8dd004a76d12474d.jpg",https://www.myntra.com/sarees/sangria/sangria-geometric-woven-design-banarasi-saree-with-unstitched-blouse/30820598/buy
29848282,Panzora,Woven Design Paithani Saree,Rs. 1799,Rs. 8999,5,10,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29848282/2024/5/30/852d796b-b5be-46f5-882d-b75af7099d121717080747608PanzoraWovenDesignZariSilkBlendPaithaniSaree1.jpg",https://www.myntra.com/sarees/panzora/panzora-woven-design-zari-paithani-saree/29848282/buy
28533432,Fusionic,Striped Pure Georgette Saree,Rs. 6622,Rs. 15400,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28533432/2024/3/27/42e4f462-0b7b-463b-9ea4-4e15d97be5751711533065774Sarees1.jpg",https://www.myntra.com/sarees/fusionic/fusionic-striped-sequinned-embroidered-pure-georgette-saree/28533432/buy
28169504,Very Much Indian,Ethnic Pure Cotton Saree,0,Rs. 4299,5,5,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28169504/2024/3/9/d8f3ee74-4142-4d6f-8137-cb3a6294b8c41710001186494Sarees1.jpg",https://www.myntra.com/sarees/very+much+indian/very-much-indian-ethnic-motifs-woven-design-zari-pure-cotton-saree/28169504/buy
30196459,all about you,Floral Brasso Saree,Rs. 1859,Rs. 5999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30196459/2024/JULY/13/7N9hkryv_acb23797b15d4257b083243f94feac1e.jpg",https://www.myntra.com/sarees/all+about+you/all-about-you-floral-embroidered-brasso-saree/30196459/buy
29848283,Panzora,Woven Design Paithani Saree,Rs. 1799,Rs. 8999,5,10,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29848283/2024/5/29/d6e2f419-8d1d-4e95-b2e4-1c663d55a04c1716995389224OrangePaithaniWovenDesignSareeAndHasaZariBorderBlousePiece1.jpg",https://www.myntra.com/sarees/panzora/panzora-woven-design-zari--paithani-saree/29848283/buy
30711849,Tikhi Imli,Embellished Net Saree,Rs. 1499,Rs. 4997,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/26/78ovi8rx_56efa9d5cfde49229b91d419989a1881.jpg",https://www.myntra.com/sarees/tikhi+imli/tikhi-imli-embellished-sequinned-net-heavy-work-saree/30711849/buy
30602521,Likha,Embellished Net Saree,Rs. 2469,Rs. 3799,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/16/iTVQYc6i_f155fb0e3720403188e7f83c21fc6942.jpg",https://www.myntra.com/sarees/likha/likha-embellished-beads-and-stones-net-saree/30602521/buy
31197941,Anouk,Embellished Saree,Rs. 2499,Rs. 11999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/3/XJAzMID0_1c13792df53c4eed8c03d1865fa0b0e0.jpg",https://www.myntra.com/sarees/anouk/anouk-embellished-beads-and-stones-saree/31197941/buy
30719267,Inddus,Embellished Satin Saree,Rs. 4999,Rs. 9999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/27/0gJcomWb_0f24aeb5267b48db81cec7e3fbf71893.jpg",https://www.myntra.com/sarees/inddus/inddus-embellished-mirror-work-satin-saree/30719267/buy
30592381,RACHNA,Ready to Wear Saree,Rs. 1458,Rs. 6079,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/15/eH7x84nK_32b7fe0adde240d689f9139e70368e22.jpg",https://www.myntra.com/sarees/rachna/rachna-ombre-beads-and-stones-art-silk-ready-to-wear-saree/30592381/buy
30671851,HEER FASHION,Floral soft muslin saree,Rs. 3775,Rs. 15100,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/22/d2GwvoH8_a5295cc4cc214fd1abe327d8b9a33404.jpg",https://www.myntra.com/sarees/heer+fashion/heer-fashion-floral-soft-muslin-saree-with-zari-weaving-work/30671851/buy
29175976,KALINI,Ethnic Kanjeevaram Saree,Rs. 1799,Rs. 3599,5,14,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29175976/2024/4/25/61b8fd7b-fef4-42e9-9b47-f32e1a0ff7c81714037420419SilkSaree1.jpg",https://www.myntra.com/sarees/kalini/kalini-ethnic-motifs-kanjeevaram-saree/29175976/buy
25601810,KALKI Fashion,Printed Satin Saree,0,Rs. 6994,5,5,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25601810/2023/10/23/36156f98-4ec2-4f71-abe6-29c695eb1e6a1698070057255BlueSatinSareeWithPrintedDetailAndUnstitchedBlousePiece1.jpg",https://www.myntra.com/sarees/kalki+fashion/kalki-fashion-ethnic-motifs-printed-embroidered-border-satin-saree/25601810/buy
30640700,Jaipur Kurti,Leheriya Pure Georgette Saree,Rs. 1239,Rs. 3999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/19/hxnaNm77_2d971a39ba3f4d2fb94b675aec54a2b4.jpg",https://www.myntra.com/sarees/jaipur+kurti/jaipur-kurti-women-leheriya-mirror-work-pure-georgette-saree/30640700/buy
29848281,Panzora,Woven Design Paithani Saree,Rs. 1799,Rs. 8999,5,10,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29848281/2024/5/29/1d95a342-af8b-4252-ab69-c1c9390f1d3b1716992093415BluePaithaniWovenDesignSareeAndHasaZariBorderBlousePiece1.jpg",https://www.myntra.com/sarees/panzora/panzora-woven-design-zari-paithani-saree/29848281/buy
29519908,RACHNA,Bhagalpuri Jute Silk Saree,Rs. 923,Rs. 3299,5,5,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29519908/2024/5/13/5857dd13-c865-4078-83a8-49837a84f9a51715607696485AbstractFloralPrintsCottonSilkSaree1.jpg",https://www.myntra.com/sarees/rachna/rachna-floral-jute-silk-bhagalpuri-saree/29519908/buy
29848279,Panzora,Woven Design Paithani Saree,Rs. 1799,Rs. 8999,5,8,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29848279/2024/5/29/3fc12d7c-86f9-493c-9648-c89fe5d13f791716992095904PurplePaithaniWovenDesignSareeAndHasaZariBorderBlousePiece1.jpg",https://www.myntra.com/sarees/panzora/panzora-woven-design-zari-paithani-saree/29848279/buy
29848285,Panzora,Woven Design Paithani Saree,Rs. 1799,Rs. 8999,5,8,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29848285/2024/5/29/937dbe70-ea7d-4dec-9002-800658e3cf8f1716995369568GreenPaithaniWovenDesignSareeAndHasaZariBorderBlousePiece1.jpg",https://www.myntra.com/sarees/panzora/panzora-woven-design-zari-paithani-saree/29848285/buy
