id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
31975305,KALINI,Ethnic Motifs Chanderi Organza Saree,Rs. 2499,Rs. 7999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31975305/2024/12/14/058f477e-8ee8-42ef-980f-5d6ab7c617ce1734185488481Sarees1.jpg",https://www.myntra.com/sarees/kalini/kalini-ethnic-motifs-zari-organza-chanderi-saree/31975305/buy
31967887,Rujave,Embellished Heavy Work Saree,Rs. 1999,Rs. 3999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31967887/2024/12/14/e3433dda-e1e9-47c3-96e5-2b3c5cacf0d71734159518781NEWSUPERHITBOLLYWOODSAREE1.jpg",https://www.myntra.com/sarees/rujave/rujave-embellished-beads-and-stones-pure-georgette-heavy-work-saree/31967887/buy
31942247,VARNI FABRICS,Woven Design Banarasi Saree,Rs. 3299,Rs. 9998,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31942247/2024/12/12/25f11da6-d44d-4891-b357-b5605b53c8221733992815173VARNIFABRICSPolkaDotZariPureSilkBanarasiSaree1.jpg",https://www.myntra.com/sarees/varni+fabrics/varni-fabrics-woven-design-zari-pure-silk-banarasi-saree/31942247/buy
31960138,SPRISH,Pure Cotton Jamdani Saree,Rs. 3528,Rs. 7200,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31960138/2024/12/13/07ee427b-a95b-40f1-ae4b-82b2cfd94be51734087869319Sarees1.jpg",https://www.myntra.com/sarees/sprish/sprish-ethnic-motifs-printed-pure-cotton-jamdani-saree/31960138/buy
31954640,Mitera,Floral Silk Cotton Saree,Rs. 1798,Rs. 7195,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31954640/2024/12/13/e388f2d9-a02a-48ea-bf75-564794c602781734066553469MiteraCottonSilkEmbroideredSaree1.jpg",https://www.myntra.com/sarees/mitera/mitera-floral-zari-silk-cotton-saree/31954640/buy
31948257,NIRMAL CREATION,Printed Pure Crepe Saree,Rs. 700,Rs. 1400,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31948257/2024/12/12/5eea3229-022d-47f6-a736-fed895e71a241734008401392NIRMALCREATIONPureCrepeSaree1.jpg",https://www.myntra.com/sarees/nirmal+creation/nirmal-creation-printed-pure-crepe-saree/31948257/buy
31978590,Anouk,Woven Design Zari Saree,Rs. 1199,Rs. 3999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31978590/2024/12/16/939d7763-576a-42b1-868d-046d197835f91734333573544Sarees1.jpg",https://www.myntra.com/sarees/anouk/anouk-woven-design-zari-saree/31978590/buy
31975686,NIRMAL CREATION,Ethnic Motifs Poly Chiffon Saree,Rs. 805,Rs. 1610,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31975686/2024/12/14/2140b1f1-7a5a-485d-94d5-1660aa32ee8d1734185539608Sarees1.jpg",https://www.myntra.com/sarees/nirmal+creation/nirmal-creation-ethnic-motifs-poly-chiffon-saree/31975686/buy
31976875,DEVATITHI,Floral Tissue Saree,Rs. 2552,Rs. 11600,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31976875/2024/12/15/8dac8c1e-8b34-404b-8582-8a3dbaf042b71734206024942Sarees1.jpg",https://www.myntra.com/sarees/devatithi/devatithi-floral-zari-tissue-saree/31976875/buy
31942293,VARNI FABRICS,Banarasi Pure Silk Saree,Rs. 3059,Rs. 8998,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31942293/2024/12/12/f3cf6f88-0530-422e-a5ac-436d82c472861733993775835VARNIFABRICSFloralZariPureSilkBanarasiSaree1.jpg",https://www.myntra.com/sarees/varni+fabrics/varni-fabrics-floral-zari-pure-silk-banarasi-saree/31942293/buy
