id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
30477056,kasee,Beads and Stones Saree,Rs. 2148,Rs. 7163,4.3,1.3k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/6/uQlZNooT_ac6154ed7e364c8bb16a32f54c5b6405.jpg",https://www.myntra.com/sarees/kasee/kasee-solid-beads-and-stones-saree/30477056/buy
28206710,all about you,Embroidered Satin Saree,Rs. 1739,Rs. 5799,4.6,5.3k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28206710/2024/3/12/8f5a1d59-a5f8-44d4-b1cb-a72a9e1ad7bf1710233595802MaroonSatinSolidwithEmbroideredLaceSaree1.jpg",https://www.myntra.com/sarees/all+about+you/all-about-you-embroidered-satin-saree/28206710/buy
30881036,House of Pataudi,Embroidered Saree With Blouse,Rs. 1993,Rs. 4747,4.1,533,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/10/rtlrM2fh_9ef365d8040144dd8a179fb0d64994d7.jpg",https://www.myntra.com/sarees/house+of+pataudi/house-of-pataudi-embroidered-saree-with-blouse/30881036/buy
26929400,Mitera,Pure Georgette Saree,Rs. 3649,Rs. 14599,3.9,633,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26929400/2024/1/15/da00ea8d-9b70-4bc5-92df-3af93508dcd71705315431261MiteraGreySilver-TonedBeadsandStonesPureGeorgetteSaree1.jpg",https://www.myntra.com/sarees/mitera/mitera-beads--stones-embellished-pure-georgette-saree-with-jacket-with-blouse/26929400/buy
28801770,Kalista,Sequinned Organza Saree,Rs. 1915,Rs. 9576,4.1,901,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28801770/2024/4/9/5cfee9c6-b79e-4cbe-a097-ba7a0ff39b011712661900149Sarees1.jpg",https://www.myntra.com/sarees/kalista/kalista-sequinned-organza-saree/28801770/buy
24942378,Tikhi Imli,Sequinned Ready to Wear Saree,Rs. 2494,Rs. 4798,4.1,1.5k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24942378/2023/9/13/1442556b-4d25-465f-a97e-934050ab3bb11694613285810TikhiImliPinkBeadsandStonesReadytoWearSaree1.jpg",https://www.myntra.com/sarees/tikhi+imli/tikhi-imli-embellished-sequinned-ready-to-wear-saree/24942378/buy
30881028,House of Pataudi,Embroidered Bandhani Saree,Rs. 1993,Rs. 4747,4.1,531,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/10/LrDwrCy7_d1aede275578415bacd96346b9455e5c.jpg",https://www.myntra.com/sarees/house+of+pataudi/house-of-pataudi-embroidered-bandhani-saree-with-blouse-piece/30881028/buy
30881031,House of Pataudi,Saree With Blouse Piece,Rs. 1993,Rs. 4747,4.1,513,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/10/xXYODO8A_53055c3a8fbb42afb1a35cb3ad34ef06.jpg",https://www.myntra.com/sarees/house+of+pataudi/house-of-pataudi-bandhani-design-embroidered-saree-with-blouse-piece/30881031/buy
28931300,Satrani,Woven Design Banarasi Saree,Rs. 2314,Rs. 8573,4,762,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28931300/2024/4/14/ecbc0b05-a2ef-4ddb-9427-172c2cbd81781713040248222SatraniWomensDyedJacquardSilkBlendHotPinkSaree1.jpg",https://www.myntra.com/sarees/satrani/satrani-woven-design-zari-banarasi-saree/28931300/buy
30146110,Satrani,Woven Design Banarasi Saree,Rs. 2600,Rs. 10000,3.5,296,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30146110/2024/7/8/5bf9a330-84c8-4525-9260-3e9c9a6f2c071720421011866SatraniEthnicMotifsZariSilkBlendBanarasiSaree1.jpg",https://www.myntra.com/sarees/satrani/satrani-ethnic-motifs-woven-design-zari-banarasi-saree/30146110/buy
30237248,Tikhi Imli,Organza Saree,Rs. 1199,Rs. 3997,4.4,1.2k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30237248/2024/7/18/5615e57a-f166-4778-b450-ff5f5a23c58b1721290820843TikhiImliSequinnedOrganzaSaree1.jpg",https://www.myntra.com/sarees/tikhi+imli/tikhi-imli-sequinned-organza-saree/30237248/buy
27214066,KALINI,Kalamkari Block Print Saree,Rs. 601,Rs. 1770,4.3,2.9k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27214066/2024/1/29/25f22eaa-c9e8-422e-be02-2eddbe59332d1706510055234KALINIKalamkariArtSilkBlockPrintSaree1.jpg",https://www.myntra.com/sarees/kalini/kalini-kalamkari-printed-block-print-saree/27214066/buy
21209326,kasee,Embellished Saree,Rs. 1536,Rs. 8088,4.1,5.2k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21209326/2023/1/11/ef0dbde1-af80-4465-8b7b-6025cdb867c41673437032164-kasee-Embellished-Beads-and-Stones-Saree-8081673437031391-1.jpg",https://www.myntra.com/sarees/kasee/kasee-embellished-beads-and-stones-saree/21209326/buy
24925630,HERE&NOW,Floral Embroidered Saree,Rs. 1574,Rs. 7499,4.2,330,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24925630/2023/9/12/d4e2381c-690d-4986-a565-ccb95fd3de811694532279255HERENOWTealRedFloralEmbroideredSaree1.jpg",https://www.myntra.com/sarees/here%26now/herenow-teal-floral-embroidered-saree/24925630/buy
26105162,Sangria,Sequinned Embellished Saree,Rs. 1889,Rs. 5049,3.5,1.3k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26105162/2023/11/28/2189873d-9176-4cd0-86e7-5373c134f69c1701191303413SangriaBlackGeorgetteEthnicEmbellishedPartyWearSareewithMatc1.jpg",https://www.myntra.com/sarees/sangria/sangria-black-sequinned-embellished-saree/26105162/buy
30446161,Saree mall,Embellished Pure Chiffon Saree,Rs. 3839,Rs. 15999,4.1,64,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/2/rX5H5IHu_da715b08922f47b381355fc594d12fb3.jpg",https://www.myntra.com/sarees/saree+mall/saree-mall-teal-blue-pure-chiffon--embellished-party-wear-saree-with-matching-blouse/30446161/buy
24434602,Mitera,Pure Georgette Saree,Rs. 3599,Rs. 13999,4.1,1.4k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24434602/2023/8/10/caf6cb10-99ce-4434-9fbe-8c3dfd9ce92f1691660885703MiteraPinkGeorgetteEthnicEmbellishedFestiveSareewithMatching1.jpg",https://www.myntra.com/sarees/mitera/mitera-pink--gold-toned-poly-georgette-saree-with-jacket-with-blouse/24434602/buy
28801754,Kalista,Embellished Organza Saree,Rs. 2337,Rs. 11685,4.3,311,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28801754/2024/4/9/b2239e15-04b9-49e3-925e-b6dbf285ae2b1712661947703Sarees1.jpg",https://www.myntra.com/sarees/kalista/kalista-embellished-beads-and-stones-organza-saree/28801754/buy
27439636,Marziyaa,Banarasi Silk Cotton Saree,Rs. 1199,Rs. 2399,3.8,391,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27439636/2024/2/8/84810e2c-7632-4bd3-8ace-06acc41582731707395690543MarziyaaWovenDesignZariSilkCottonBanarasiSaree1.jpg",https://www.myntra.com/sarees/marziyaa/marziyaa-ethnic-woven-design-zari-silk-cotton-banarasi-saree/27439636/buy
25473154,all about you,Zari Detail Pure Chiffon Saree,Rs. 1631,Rs. 9599,4.3,2k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25473154/2023/10/13/ea29d1b0-091c-402c-9fe5-2e87e28e77a61697213153459allaboutyouPinkRedOmbrePureChiffonSaree1.jpg",https://www.myntra.com/sarees/all+about+you/all-about-you-pink-floral-woven-design-zari-detailed-pure-chiffon-saree/25473154/buy
30767356,all about you,Satin Saree,Rs. 1951,Rs. 6099,4.4,195,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/30/Ax1SVuRe_a23156f91a8745109292d67519cedaeb.jpg",https://www.myntra.com/sarees/all+about+you/all-about-you-satin-designer-saree/30767356/buy
