id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
26412204,MANGO,Velvet Pleated Top,Rs. 1046,Rs. 2990,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26412204/2024/4/25/9c2d2d2d-b8ba-41fe-86c0-a972355221d71714028982644-MANGO-Velvet-Pleated-Top-6171714028982289-1.jpg",https://www.myntra.com/tops/mango/mango-velvet-pleated-top/26412204/buy
31218904,all about you,Floral Print Shirt Style Top,Rs. 713,Rs. 1699,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31218904/2024/11/22/b2c148ea-fc63-4369-8181-7cd337b39dd61732275963284-all-about-you-Women-Shirts-3121732275962815-1.jpg",https://www.myntra.com/tops/all+about+you/all-about-you-floral-print-shirt-style-top/31218904/buy
31638501,H&M,Women Draped Velour Top,0,Rs. 1499,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31638501/2024/11/16/f6d4d79d-5c29-49de-b899-b7cdd8b1a6101731735103042-HM-Draped-Velour-Top-4211731735102658-1.jpg",https://www.myntra.com/tops/h%26m/hm-women-draped-velour-top/31638501/buy
31659652,max,Plus Size Puff Sleeve Top,0,Rs. 999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/18/or4hQXDh_ecac9d4c5ca74327b36265600ceef095.jpg",https://www.myntra.com/tops/max/max-women-plus-size-puff-sleeve-round-neck-top/31659652/buy
30865175,Vero Moda,Women Striped Top,Rs. 899,Rs. 1499,5,12,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30865175/2024/9/5/c349b880-23a5-4202-8c8f-147f0211ea3d1725524305267-Vero-Moda-Cotton-Top-8151725524304827-1.jpg",https://www.myntra.com/tops/vero+moda/vero-moda-women-vertical-striped-round-neck-cotton-top/30865175/buy
30282196,Marks & Spencer,Puff Sleeve Top,Rs. 2099,Rs. 3499,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30282196/2024/7/22/312b8b76-21a5-4582-8384-c6fddaa95d581721614567740MarksSpencerPuffSleeveCottonTop1.jpg",https://www.myntra.com/tops/marks+%26+spencer/marks--spencer-puff-sleeve-cotton-top/30282196/buy
31128932,Allen Solly Woman,Women Printed Top,0,Rs. 1799,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/26/lknD7BmK_0d1e426ab5934b0fa51d7c2399087fa8.jpg",https://www.myntra.com/tops/allen+solly+woman/allen-solly-woman-abstract-printed-lapel-collar-top/31128932/buy
26412186,MANGO,Lace Detail Camisole Style Top,Rs. 696,Rs. 1990,5,7,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26412186/2024/2/6/e7e4cdd1-6f00-4b61-9442-0ca5106e816f1707220027792MANGOFloralPrintTie-UpNeckA-LineMidiDressDressesMANGOWomenDr1.jpg",https://www.myntra.com/tops/mango/mango-lace-detail-camisole-style-top/26412186/buy
31605283,H&M,Sequined Turtleneck Top,0,Rs. 1999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/12/B3Fv5U3e_e231fe4463104d749365d4698b062bb5.jpg",https://www.myntra.com/tops/h%26m/-hm-sequined-turtleneck-top/31605283/buy
29905577,NEXT,Floral Printed Top,Rs. 2309,Rs. 3299,5,9,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29905577/2024/6/11/332cb27b-e773-4e95-b334-6afa0ee64c281718103202766CamisolesNEXTWomenCamisolesNEXTWomenBlazersNEXTWomenLeggings1.jpg",https://www.myntra.com/tops/next/next-floral-printed-extended-sleeves-top/29905577/buy
28980010,Marks & Spencer,Printed Puff Sleeves Top,Rs. 1199,Rs. 1999,5,9,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28980010/2024/4/16/4c743d77-4fe7-46fa-97ac-8f5af48df29f1713277167902MarksSpencerTop1.jpg",https://www.myntra.com/tops/marks+%26+spencer/marks--spencer-floral-printed-puff-sleeves-top/28980010/buy
31289836,SASSAFRAS,Square Neck Cotton Top,Rs. 1099,Rs. 2199,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/11/B2ulw3hG_8f4c7b836a83462e8b008d3814e28952.jpg",https://www.myntra.com/tops/sassafras/sassafras-women-square-neck-cotton-top/31289836/buy
30529771,Azira,Kimono Sleeve Empire Top,Rs. 699,Rs. 1599,5,11,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/10/t4VX1KHB_d2aa5372701c4e9c8a1422fff2b0c00d.jpg",https://www.myntra.com/tops/azira/azira-kimono-sleeve-empire-top/30529771/buy
30419854,SHAYE,Women Embellished Party Top,0,Rs. 1599,5,5,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/JULY/30/SXA59PBR_bd3e2af8393c42e4aecb0b24aa8fcf7f.jpg",https://www.myntra.com/tops/shaye/shaye-women-v-neck-embellished-party-top/30419854/buy
27351598,MANGO,Embellished Fitted Top,Rs. 2702,Rs. 4290,5,13,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27351598/2024/2/6/ca926cd6-9611-4e47-9161-d02140db83a61707219784207MANGOWrapTie-UpMiniDressTrousersMANGOWomenTopsMANGOWomenTops1.jpg",https://www.myntra.com/tops/mango/mango-embellished-fitted-top/27351598/buy
