id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
31996967,LULU & SKY,Top Solid,Rs. 1578,Rs. 3945,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31996967/2024/12/17/ca73ddb6-51f1-4f50-ba10-d88e423cfea21734437902244LULUSKYTop1.jpg",https://www.myntra.com/tops/lulu+%26+sky/lulu--sky-top/31996967/buy
31938875,sollobell,Women Cotton Tank Top,Rs. 359,Rs. 1199,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31938875/2024/12/12/6600236c-e0b6-415d-a2e4-0ad8da5340771733969386126sollobellCottonCropTop1.jpg",https://www.myntra.com/tops/sollobell/sollobell-women-cotton-tank-top/31938875/buy
31996863,LULU & SKY,Shoulder Straps Bralette Top,Rs. 1671,Rs. 4178,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31996863/2024/12/17/d0102049-2f46-48bc-80a3-9db10034fece1734449445745LULUSKYBraletteTop1.jpg",https://www.myntra.com/tops/lulu+%26+sky/lulu--sky-women-shoulder-straps-sleeveless-bralette-top-/31996863/buy
31996957,LULU & SKY,Tube Top,Rs. 2067,Rs. 5169,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31996957/2024/12/17/355ada4e-bf09-432b-b669-0f4155a84de11734437908695LULUSKYTop1.jpg",https://www.myntra.com/tops/lulu+%26+sky/lulu--sky-tube-top/31996957/buy
31996874,LULU & SKY,Top Solid,Rs. 983,Rs. 2458,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31996874/2024/12/18/fe837207-458b-4e2e-b268-8990ceb251821734460229130LULUSKYTop1.jpg",https://www.myntra.com/tops/lulu+%26+sky/lulu--sky-top/31996874/buy
31996705,LULU & SKY,Halter Neck Crop Top,Rs. 1137,Rs. 2844,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31996705/2024/12/17/aa4a50df-0917-4ef5-ad15-722babb5b8cf1734436811345LULUSKYHalterNeckCropTop1.jpg",https://www.myntra.com/tops/lulu+%26+sky/lulu--sky-halter-neck-crop-top/31996705/buy
31972887,Blissence,Floral Print Top,Rs. 799,Rs. 1999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31972887/2024/12/14/a1aaf113-5ce7-4e36-a25e-af2706aa53ee1734178490776BlissenceFloralPrintCropTop1.jpg",https://www.myntra.com/tops/blissence/blissence-floral-print-crop-top/31972887/buy
29967374,Mast & Harbour,Ribbed Top,Rs. 404,Rs. 899,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29967374/2024/12/13/b5867995-b35a-41e1-9db1-d578d86887081734079289186-Mast--Harbour-Women-Tshirts-791734079288746-1.jpg",https://www.myntra.com/tops/mast+%26+harbour/mast--harbour-ribbed-top/29967374/buy
31997045,LULU & SKY,Top Solid,Rs. 2249,Rs. 5623,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31997045/2024/12/18/9af92bda-cced-41c9-854f-cdc85b9440461734465601904LULUSKYTop1.jpg",https://www.myntra.com/tops/lulu+%26+sky/lulu--sky-top/31997045/buy
31982726,SCORPIUS,Women CottonTank Crop Top,Rs. 519,Rs. 1299,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31982726/2024/12/16/d32c4a9d-20c8-4714-8e3b-04c50a9968ce1734346551782SCORPIUSCottonTankCropTop1.jpg",https://www.myntra.com/tops/scorpius/scorpius-women-cotton-tank-crop-top/31982726/buy
31939222,The Souled Store,Women Round Neck Crop Top,Rs. 500,Rs. 849,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31939222/2024/12/12/69077cce-0432-4990-8197-6f66bda839691733982492948TheSouledStoreCropTop1.jpg",https://www.myntra.com/tops/the+souled+store/the-souled-store-women-round-neck-crop-top/31939222/buy
31997171,LULU & SKY,Top Solid,Rs. 1477,Rs. 3693,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31997171/2024/12/17/5490dcf6-9373-486d-a808-4c43953207aa1734438292241LULUSKYTop1.jpg",https://www.myntra.com/tops/lulu+%26+sky/lulu--sky-top/31997171/buy
31956335,R&B,Top Solid,0,Rs. 599,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31956335/2024/12/13/100bfad1-9629-476f-8bd3-abe26ab4bbdc1734076925999RBTop1.jpg",https://www.myntra.com/tops/r%26b/rb-top/31956335/buy
31996867,LULU & SKY,Women Flared Sleeve Top,Rs. 1886,Rs. 4717,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31996867/2024/12/17/90f95133-d749-4377-aa78-48718f6a7d101734437060308LULUSKYFlaredSleeveTop1.jpg",https://www.myntra.com/tops/lulu+%26+sky/lulu--sky-women-flared-sleeve-top/31996867/buy
31123352,French Connection,Pure Cotton Shirt Style Top,Rs. 949,Rs. 2499,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31123352/2024/12/12/0691f622-b58d-4398-82bc-4ced9c75e9ba1733990062502-French-Connection-Women-Shirts-3311733990061899-1.jpg",https://www.myntra.com/tops/french+connection/french-connection-striped-pure-cotton-shirt-style-top/31123352/buy
31996734,LULU & SKY,Top Solid,Rs. 1768,Rs. 4421,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31996734/2024/12/18/7a331fdd-239c-4757-8c54-6f27176914eb1734460221008LULUSKYCropTop1.jpg",https://www.myntra.com/tops/lulu+%26+sky/lulu--sky-crop-top/31996734/buy
31973408,J Style,Slit Sleeve Crepe Top,0,Rs. 1499,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31973408/2024/12/14/3807d175-b75a-40ca-8048-e4b2af8c2ceb1734178982996JStyleSlitSleeveCrepeTop1.jpg",https://www.myntra.com/tops/j+style/j-style-slit-sleeve-crepe-top/31973408/buy
31996736,LULU & SKY,Off-Shoulder Bardot Top,Rs. 1745,Rs. 4364,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31996736/2024/12/17/c6025f59-53f8-4b30-ba11-8a660e84eeb01734459908856LULUSKYOff-ShoulderBardotCropTop1.jpg",https://www.myntra.com/tops/lulu+%26+sky/lulu--sky-off-shoulder-bardot-crop-top/31996736/buy
