id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
15019102,Jockey,Ribbed Thermal Top,0,Rs. 629,4.5,8.2k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15019102/2024/1/2/e5a43bc5-18bf-4737-8b92-68c80a35028b1704194909547JockeyWomenBlackRibbedThermalTop2503-01051.jpg",https://www.myntra.com/thermal-tops/jockey/jockey-women-super-combed-cotton-thermal-top-with-staywarm-technology---2503/15019102/buy
14938238,WEDZE By Decathlon,Women Solid Thermal Tops,Rs. 629,Rs. 999,4.5,2k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14938238/2021/7/26/c9174f65-16e7-430a-97e9-58ab310beb8a1627300208429NA1.jpg",https://www.myntra.com/thermal-tops/wedze+by+decathlon/wedze-by-decathlon-women-black-solid-thermal-tops/14938238/buy
30760636,H&M,Jersey Tops,0,Rs. 599,4.5,684,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/30/gu0NPZtw_75ae4313b6af47f48d7b0fc7d150c02e.jpg",https://www.myntra.com/tops/h%26m/-hm-jersey-tops/30760636/buy
29958960,Anouk,Printed Pure Cotton Top,Rs. 699,Rs. 1999,4.5,2.3k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29958960/2024/6/13/28b75258-4d5f-478a-bfa2-18455fd5a0c01718280596571AnoukPrintMandarinCollarCottonTop4.jpg",https://www.myntra.com/tops/anouk/anouk-ethnic-printed-cuban-collar-pure-cotton-shirt-style-top/29958960/buy
15019126,Jockey,Women Solid Thermal Top,0,Rs. 599,4.5,8.2k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15019126/2024/1/2/f9808836-d381-4305-8bf8-5cd3fcdab7ef1704195803546JockeyWomenCharcoalGreySolidThermalTop1.jpg",https://www.myntra.com/thermal-tops/jockey/jockey-super-combed-cotton-three-quarter-sleeve-thermal-top-with-staywarm-technology--2503/15019126/buy
15019118,Jockey,Three-quarter Thermal Top,0,Rs. 949,4.3,507,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15019118/2024/1/2/5d68bfab-d2b2-4477-8cfd-83e5b927ed441704195777343JockeyBeigeSolidThree-quarterSleeveThermalTop1.jpg",https://www.myntra.com/thermal-tops/jockey/jockey-soft-touch-microfiber-thermal-top-with-staywarm-technology-2511/15019118/buy
23886980,H&M,Long-Sleeved Jersey Top,0,Rs. 699,4.5,10.7k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23886980/2023/7/5/50f75785-9531-45af-9971-4ecb2eed5d721688562234892Long-sleevedjerseytop1.jpg",https://www.myntra.com/tops/h%26m/hm-long-sleeved-jersey-tops/23886980/buy
20412154,H&M,Ribbed Modal-Blend Top,0,Rs. 699,4.4,10k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20412154/2022/10/15/4bb3e207-b6fc-47ba-98a1-51343b2a11c11665806363382Ribbedmodal-blendtop1.jpg",https://www.myntra.com/tops/h%26m/hm-women-white-ribbed-modal-blend-top/20412154/buy
21470610,H&M,Long-sleeved Jersey Top,0,Rs. 699,4.5,10.7k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21470610/2023/1/9/ba62f046-2c14-478f-81e8-a1b01530719e1673260673753Long-sleevedjerseytop1.jpg",https://www.myntra.com/tops/h%26m/hm-long-sleeved-jersey-top/21470610/buy
15192120,all about you,Floral Mandarin Collar Top,Rs. 543,Rs. 1699,4,6.3k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15192120/2023/9/5/36d15bf3-1f02-480a-9756-f25dbb8e4b6a1693911370547allaboutyouWomenBlackFloralPrintMandarinCollarBishopSleevesT1.jpg",https://www.myntra.com/tops/all+about+you/all-about-you-women-black-floral-print-mandarin-collar-bishop-sleeves-top/15192120/buy
