id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
30188101,TRENDY RABBIT,Women Solid Oversized T-Shirt,Rs. 599,Rs. 5999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30188101/2024/7/10/cc01f836-2495-487b-9680-4eded0112df91720617224795TRENDYRABBITWomenStripedHenleyNeckMonochromeCutOutsT-shirt1.jpg",https://www.myntra.com/tshirts/trendy+rabbit/trendy-rabbit-women-solid-round-neck-cotton-oversized-t-shirt/30188101/buy
30188045,TRENDY RABBIT,Women Printed Raw Edge T-shirt,Rs. 599,Rs. 5999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30188045/2024/7/10/ff6eded2-069c-460b-9cc3-ede7b9d834de1720625104459TRENDYRABBITWomenPrintedRawEdgeT-shirt1.jpg",https://www.myntra.com/tshirts/trendy+rabbit/trendy-rabbit-women-printed-raw-edge-t-shirt/30188045/buy
30187925,TRENDY RABBIT,Women Typography Printed Applique T-shirt,Rs. 599,Rs. 5999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30187925/2024/7/10/30d76297-2c8f-4028-bb58-15b8bb8f8caf1720617064221TRENDYRABBITWomenTypographyPrintedDrop-ShoulderSleevesAppliq1.jpg",https://www.myntra.com/tshirts/trendy+rabbit/trendy-rabbit-women-typography-printed-drop-shoulder-sleeves-applique-t-shirt/30187925/buy
30187910,TRENDY RABBIT,Women Oversized Cotton T-shirt,Rs. 599,Rs. 5999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30187910/2024/7/10/387c94a6-3bde-4a00-94ee-7b7acf8173291720614843653TRENDYRABBITWomenTypographyPrintedAppliqueT-shirt1.jpg",https://www.myntra.com/tshirts/trendy+rabbit/trendy-rabbit-women-people-and-places-printed-round-neck-cotton-oversized-t-shirt/30187910/buy
29917322,TRENDY RABBIT,Round Neck Oversized T-shirt,Rs. 599,Rs. 5999,4.2,21,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29917322/2024/6/7/a37c4233-4744-4788-b454-cc28e2aa0d811717771559587TRENDYRABBITWomenTypographyV-NeckPocketsT-shirt1.jpg",https://www.myntra.com/tshirts/trendy+rabbit/trendy-rabbit-women-varsity-printed-round-neck-oversized-t-shirt/29917322/buy
30803258,REVEXO,Women Solid Oversized T-shirt,Rs. 599,Rs. 5999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/1/mDOWbBkT_f2165447143e431e96d813479d0054a3.jpg",https://www.myntra.com/tshirts/revexo/revexo-women-solid-round-neck-cotton-oversized-t-shirt/30803258/buy
30188062,TRENDY RABBIT,Women Oversized Cotton T-shirt,Rs. 599,Rs. 5999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30188062/2024/7/10/b7f5495c-0b61-4d78-9905-1e0a4e5ae5ed1720618944425TRENDYRABBITWomenPrintedT-shirt1.jpg",https://www.myntra.com/tshirts/trendy+rabbit/trendy-rabbit-women-graphic-printed-round-neck-cotton-oversized-t-shirt/30188062/buy
27825804,TRENDY RABBIT,Cotton Oversized T-shirt,Rs. 699,Rs. 6999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27825804/2024/2/24/ebfa2e8f-dda6-4a4a-83c0-f15a68f33cfa1708757518925TRENDYRABBITWomenPrintedRawEdgeT-shirt1.jpg",https://www.myntra.com/tshirts/trendy+rabbit/trendy-rabbit-graphic-printed-drop-shoulder-sleeves-cotton-oversized-t-shirt/27825804/buy
30188167,TRENDY RABBIT,Women Oversized Cotton T-shirt,Rs. 599,Rs. 5999,2.5,10,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30188167/2024/7/10/ccb95054-9079-478e-92ab-ebeb548adf3d1720618602395TRENDYRABBITWomenTypographyPrintedPocketsT-shirt1.jpg",https://www.myntra.com/tshirts/trendy+rabbit/trendy-rabbit-women-people-and-places-round-neck-cotton-oversized-t-shirt/30188167/buy
27825802,TRENDY RABBIT,Cotton Oversized T-shirt,Rs. 699,Rs. 6999,3,7,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27825802/2024/2/24/0dc23f57-8aa5-4698-9326-2df1ac4d8e151708757524582TRENDYRABBITWomenTypographyPrintedAppliqueT-shirt1.jpg",https://www.myntra.com/tshirts/trendy+rabbit/trendy-rabbit-graphic-printed-drop-shoulder-sleeves-cotton-oversized-t-shirt/27825802/buy
26385594,MISCHIEF MONKEY,Printed Cotton T-shirt,Rs. 699,Rs. 6999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26385594/2023/12/12/974ac4f8-9415-4902-94b3-b47c553bdb721702398574881MISCHIEFMONKEYWomenBlackPrintedDrop-ShoulderSleevesT-shirt1.jpg",https://www.myntra.com/tshirts/mischief+monkey/mischief-monkey-printed-drop-shoulder-sleeves-cotton-oversized-t-shirt/26385594/buy
30188051,TRENDY RABBIT,Women Typography Printed Applique T-shirt,Rs. 599,Rs. 5999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30188051/2024/7/10/961fec80-94d6-471d-9777-92f0a071d7821720618764380TRENDYRABBITWomenTypographyPrintedAppliqueT-shirt1.jpg",https://www.myntra.com/tshirts/trendy+rabbit/trendy-rabbit-women-typography-printed-applique-t-shirt/30188051/buy
30188008,TRENDY RABBIT,Women Typography Printed Pockets T-shirt,Rs. 599,Rs. 5999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30188008/2024/7/10/32124b33-f6bd-4462-8e38-2932706d89681720617558904TRENDYRABBITWomenTypographyPrintedPocketsT-shirt1.jpg",https://www.myntra.com/tshirts/trendy+rabbit/trendy-rabbit-women-typography-printed-pockets-t-shirt/30188008/buy
29917409,TRENDY RABBIT,Round Neck Oversized T-shirt,Rs. 599,Rs. 5999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29917409/2024/6/7/c0d938e1-4dde-4691-b53c-12d874debbe31717772886036TRENDYRABBITWomenTypographyExtendedSleevesCutOutsT-shirt1.jpg",https://www.myntra.com/tshirts/trendy+rabbit/trendy-rabbit-women-graphic-printed-round-neck-oversized-t-shirt/29917409/buy
30803188,REVEXO,Women Oversized T-shirt,Rs. 599,Rs. 5999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/1/7Wd2p5pS_27ed9ed4868445a78f039e88d744992e.jpg",https://www.myntra.com/tshirts/revexo/revexo-women-graphic-printed-round-neck-cotton-oversized-t-shirt/30803188/buy
30187936,TRENDY RABBIT,Women Oversized Cotton T-shirt,Rs. 599,Rs. 5999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30187936/2024/7/10/b24bcf5c-7968-453e-999f-eb852d5dd3951720617163430TRENDYRABBITWomenTypographyPrintedAppliqueT-shirt1.jpg",https://www.myntra.com/tshirts/trendy+rabbit/trendy-rabbit-women-people-and-places-printed-round-neck-cotton-oversized-t-shirt/30187936/buy
30803282,REVEXO,Women Oversized T-shirt,Rs. 599,Rs. 5999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/1/pwYYUxqa_2bc8e0dbe75147d08a7ce489a1463a20.jpg",https://www.myntra.com/tshirts/revexo/revexo-women-typography-printed-round-neck-cotton-oversized-t-shirt/30803282/buy
30188052,TRENDY RABBIT,Women Typography Pockets T-shirt,Rs. 599,Rs. 5999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30188052/2024/7/10/623ad849-ac38-41f9-9811-9b5b981082e31720625113131TRENDYRABBITWomenTypographyExtendedSleevesPocketsT-shirt1.jpg",https://www.myntra.com/tshirts/trendy+rabbit/trendy-rabbit-women-typography-extended-sleeves-pockets-t-shirt/30188052/buy
30188122,TRENDY RABBIT,Women Oversized Cotton T-shirt,Rs. 599,Rs. 5999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30188122/2024/7/10/aea590cf-3a35-4ca0-ab9c-2ac177ea5bd61720625159274TRENDYRABBITWomenPrintedHighNeckT-shirt1.jpg",https://www.myntra.com/tshirts/trendy+rabbit/trendy-rabbit-women-graphic-printed-round-neck-cotton-oversized-t-shirt/30188122/buy
30188075,TRENDY RABBIT,Women Solid Oversized T-Shirt,Rs. 599,Rs. 5999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30188075/2024/7/10/fe8aaadd-fa20-473f-b97f-fe0ef51e5b671720625123337TRENDYRABBITWomenDrop-ShoulderSleevesPocketsT-shirt1.jpg",https://www.myntra.com/tshirts/trendy+rabbit/trendy-rabbit-women-solid-round-neck-cotton-oversized-t-shirt/30188075/buy
30188044,TRENDY RABBIT,Women Typography Applique T-shirt,Rs. 599,Rs. 5999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30188044/2024/7/10/c62815d9-3e6d-4e65-87e2-5c0de8327cce1720625099119TRENDYRABBITWomenTypographyAppliqueT-shirt1.jpg",https://www.myntra.com/tshirts/trendy+rabbit/trendy-rabbit-women-typography-applique-t-shirt/30188044/buy
30188040,TRENDY RABBIT,Women Typography Printed Applique T-shirt,Rs. 599,Rs. 5999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30188040/2024/7/10/f919b6f5-7e66-4ed4-ac95-26b99dd655a21720625094676TRENDYRABBITWomenTypographyPrintedAppliqueT-shirt1.jpg",https://www.myntra.com/tshirts/trendy+rabbit/trendy-rabbit-women-typography-printed-applique-t-shirt/30188040/buy
30188036,TRENDY RABBIT,Women Solid Oversized T-Shirt,Rs. 599,Rs. 5999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30188036/2024/7/10/2a34055a-25f5-40b8-a3b9-10ed378e2f9d1720620034814TRENDYRABBITWomenHighNeckPocketsT-shirt1.jpg",https://www.myntra.com/tshirts/trendy+rabbit/trendy-rabbit-women-solid-round-neck-cotton-oversized-t-shirt/30188036/buy
