id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
31966604,LULU & SKY,Women V-Neck Pockets Slim Fit T-shirt,Rs. 1673,Rs. 4183,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31966604/2024/12/14/229de9af-f0ed-45ce-be21-6338784eed961734159238138LULUSKYWomenV-NeckPocketsSlimFitT-shirt1.jpg",https://www.myntra.com/tshirts/lulu+%26+sky/lulu--sky-women-v-neck-pockets-slim-fit-t-shirt/31966604/buy
31984453,Roadster,2Pcs Cotton Oversized T-Shirts,Rs. 659,Rs. 1998,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31984453/2024/12/16/abc6da1b-77fc-4e01-97bb-31910bcc214d1734353308501TheRoadsterLifestyleCoPackOf2CottonOversizedT-Shirts1.jpg",https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-pack-of-2-cotton-oversized-t-shirts/31984453/buy
31966643,LULU & SKY,Women V-Neck Raw Edge Slim Fit T-shirt,Rs. 1560,Rs. 3900,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31966643/2024/12/14/fbaee862-78d9-4688-ae27-3e1fed8abd071734159239076LULUSKYWomenV-NeckRawEdgeSlimFitT-shirt1.jpg",https://www.myntra.com/tshirts/lulu+%26+sky/lulu--sky-women-v-neck-raw-edge-slim-fit-t-shirt/31966643/buy
31946821,Kappa,Women Printed Cotton T-shirt,0,Rs. 799,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31946821/2024/12/12/cf23140b-1921-4428-a98e-b3cb3ce2e0041733999472174KappaWomenTypographyPrintedDrop-ShoulderSleevesAppliqueT-shi1.jpg",https://www.myntra.com/tshirts/kappa/kappa-women-typography-printed-round-neck-cotton-slim-fit-t-shirt/31946821/buy
30063759,Roadster,Plus Size Printed T-shirt,Rs. 584,Rs. 1299,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30063759/2024/12/13/c39dd031-51e3-46ed-8a9f-3e0d5958e4a81734085283087-Roadster-Women-Tshirts-3671734085282476-1.jpg",https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-plus-size-printed-drop-shoulder-sleeves-cotton-oversized-tshirt/30063759/buy
32003240,max,Women Polka Dot Printed V-Neck Pockets T-shirt,0,Rs. 699,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32003240/2024/12/17/3d5348b4-14e2-410d-a366-07e5b5a6e97d1734442539826URB_NOpenKnitCropJohnnyCollarT-shirt1.jpg",https://www.myntra.com/tshirts/max/max-women-polka-dot-printed-v-neck-pockets-t-shirt/32003240/buy
31966534,Main Character India,Unisex Printed Cotton T-shirt,Rs. 1399,Rs. 1958.6,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31966534/2024/12/14/49f77d0e-1075-42ba-9d0f-652fad0340ae1734159230913MainCharacterIndiaUnisexTypographyPrintedDrop-ShoulderSleeve1.jpg",https://www.myntra.com/tshirts/main+character+india/main-character-india-unisex-graphic-printed-round-neck-cotton-relaxed-fit-t-shirt/31966534/buy
31940548,Leotude,Women Oversized Cotton T-shirt,Rs. 494,Rs. 1099,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31940548/2024/12/11/dd9507ba-035f-4c5f-9823-e73d5620c9b31733923993673Tshirts1.jpg",https://www.myntra.com/tshirts/leotude/leotude-women-typography-printed-round-neck-cotton-oversized-t-shirt/31940548/buy
31990293,theRebelinme,Women T-shirt,Rs. 1794,Rs. 2600,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31990293/2024/12/17/e980e1ab-f918-4ae0-83c0-2eb07371feb61734421072332theRebelinmeWomenT-shirt1.jpg",https://www.myntra.com/tshirts/therebelinme/therebelinme-women-t-shirt/31990293/buy
31966642,LULU & SKY,Women Colourblocked V-Neck Applique Slim Fit T-shirt,Rs. 1104,Rs. 2760,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31966642/2024/12/13/ba424a19-34b8-4e51-aa55-397031b96f021734099350048LULUSKYWomenColourblockedV-NeckAppliqueSlimFitT-shirt1.jpg",https://www.myntra.com/tshirts/lulu+%26+sky/lulu--sky-women-colourblocked-v-neck-applique-slim-fit-t-shirt/31966642/buy
31338747,glitchez,Printed T-shirt,0,Rs. 499,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31338747/2024/12/9/3924f157-4371-4600-ab60-e8400b9dff1a1733747100999-glitchez-Women-Tshirts-4601733747100475-1.jpg",https://www.myntra.com/tshirts/glitchez/glitchez-font-frenzy-printed-t-shirt/31338747/buy
31984305,Roadster,2Pc Cotton Round Neck T-Shirts,Rs. 659,Rs. 1998,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31984305/2024/12/16/13f8950a-d54b-4bd4-a7f5-5857b64626b91734354108818TheRoadsterLifestyleCoPackOf2CottonRoundNeckT-Shirts1.jpg",https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-pack-of-2-cotton-round-neck-t-shirts-/31984305/buy
31990294,theRebelinme,Women T-shirt,Rs. 1794,Rs. 2600,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31990294/2024/12/17/43086853-47ce-4430-9568-7ae343f391a91734421168042Tshirts1.jpg",https://www.myntra.com/tshirts/therebelinme/therebelinme-women-t-shirt/31990294/buy
31972176,Free Authority,Women Printed Cotton T-shirt,Rs. 764,Rs. 899,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31972176/2024/12/14/b5867c35-0552-42d0-84ce-70f8874fd2481734175121407MickeyFriendsPrintedRegularFitTshirtForWomen1.jpg",https://www.myntra.com/tshirts/free+authority/free-authority-women-graphic-printed-round-neck-cotton-mickey--friends-t-shirt/31972176/buy
31892214,Diving Deep,Pack Of 2 Solid T-shirts,0,Rs. 1499,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/DECEMBER/12/lg5tY2Rf_6f0057a6186242be997763fea9d8e86d.jpg",https://www.myntra.com/tshirts/diving+deep/diving-deep-women-dri-blend-pack-of-2-solid-t-shirts/31892214/buy
31985481,Roadster,Pack Of 2 Cotton Tshirts,Rs. 659,Rs. 1998,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31985481/2024/12/16/3a3af7cd-eb07-4dce-bc43-ea44243e13851734355238842Tshirts1.jpg",https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-pack-of-2-cotton-oversized-tshirts/31985481/buy
31966735,LULU & SKY,Women V-Neck T-shirt,Rs. 732,Rs. 1830,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31966735/2024/12/13/b7dea2f5-9aa2-4271-b4c9-1ca56ac028681734099546788LULUSKYWomenV-NeckT-shirt1.jpg",https://www.myntra.com/tshirts/lulu+%26+sky/lulu--sky-women-v-neck-t-shirt/31966735/buy
31966761,LULU & SKY,Women Colourblocked Cut Outs Slim Fit T-shirt,Rs. 1467,Rs. 3668,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31966761/2024/12/13/8fe40747-bf3b-4910-8bae-60f7b6a8da7a1734099576522LULUSKYWomenColourblockedCutOutsSlimFitT-shirt1.jpg",https://www.myntra.com/tshirts/lulu+%26+sky/lulu--sky-women-colourblocked-cut-outs-slim-fit-t-shirt/31966761/buy
31966730,LULU & SKY,Women Solid Round Neck T-shirt,Rs. 1454,Rs. 3635,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31966730/2024/12/13/ba3512ba-a774-42b9-90da-2825b2f3c9d91734093818667LULUSKYWomenV-NeckAppliqueSlimFitT-shirt1.jpg",https://www.myntra.com/tshirts/lulu+%26+sky/lulu--sky-women-solid-round-neck-slim-fit-t-shirt/31966730/buy
31966785,LULU & SKY,Women Printed T-shirt,Rs. 897,Rs. 2243,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31966785/2024/12/13/41e685f3-6396-4998-b253-17063e173bfc1734099573747LULUSKYWomenV-NeckAppliqueT-shirt1.jpg",https://www.myntra.com/tshirts/lulu+%26+sky/lulu--sky-women-typography-printed-round-neck-relaxed-fit-t-shirt/31966785/buy
