id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
28551734,H&M,Women Ribbed T-shirt,0,Rs. 499,4.4,1.9k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28551734/2024/4/5/2c7240c2-8a98-4ca2-ac65-51affc39e1f61712302496521HMWomenRibbedT-shirt1.jpg",https://www.myntra.com/tshirts/h%26m/hm-women-ribbed-t-shirt/28551734/buy
27873912,DILLINGER,Printed Pure Cotton T-Shirt,Rs. 377,Rs. 1399,4.4,1.7k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27873912/2024/3/5/4cb9850f-3dea-4639-b310-5d7360e1c56b1709629321859DILLINGERGraphicPrintedOversizedPureCottonT-Shirt1.jpg",https://www.myntra.com/tshirts/dillinger/dillinger-graphic-printed-oversized-pure-cotton-t-shirt/27873912/buy
15598130,DILLINGER,Women Printed Oversized Tshirt,Rs. 395,Rs. 1199,4.4,14.6k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15598130/2021/10/11/00b95453-af40-4cfe-a8fb-51960607777e1633926686080-DILLINGER-Women-Tshirts-7421633926685543-1.jpg",https://www.myntra.com/tshirts/dillinger/dillinger-women-cream-coloured-printed-cotton-oversized-pure-cotton-t-shirt/15598130/buy
17692896,DILLINGER,Women Typography Printed Loose T-shirt,Rs. 402,Rs. 1299,4.1,4.6k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17692896/2022/4/12/0014db74-447c-4588-aaae-957037bf78e31649759620479-DILLINGER-Women-Tshirts-9101649759620095-1.jpg",https://www.myntra.com/tshirts/dillinger/dillinger-women-red--beige-typography-printed-pure-cotton-loose-t-shirt/17692896/buy
23503392,Bewakoof,Printed Cotton T-Shirt,Rs. 599,Rs. 1499,4.6,1.4k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/4/7nCu3aG4_01c89d494d314ec0988b1aad929c6e33.jpg",https://www.myntra.com/tshirts/bewakoof/bewakoof-x-official-tom--jerry-merchandise-friends--feelings-print-oversized-t-shirt/23503392/buy
17587470,Difference of Opinion,Cotton Oversized T-Shirt,Rs. 402,Rs. 1299,4.4,8.4k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17587470/2022/4/28/51112378-6f5f-43f0-a257-16f3fb5be4341651143779451-Difference-of-Opinion-Women-Orange-Typography-Printed-Pure-C-1.jpg",https://www.myntra.com/tshirts/difference+of+opinion/difference-of-opinion-women-orange-typography-printed-pure-cotton-oversized-t-shirt/17587470/buy
30460251,H&M,Women Oversized printed Tshirt,Rs. 1039,Rs. 1299,4,32,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/3/oNDbtC2E_99e0524a526142539280bb54db65c15f.jpg",https://www.myntra.com/tshirts/h%26m/-hm-women-printed-pure-cotton-oversized-tshirt/30460251/buy
30064786,H&M,Fitted T-Shirt,0,Rs. 399,3.9,3k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30064786/2024/6/28/934b70e5-23e4-4d07-bbfc-79f885121c621719571791973HMFittedT-Shirt1.jpg",https://www.myntra.com/tshirts/h%26m/-hm-fitted-t-shirt/30064786/buy
28119814,DILLINGER,Women Printed T-shirt,Rs. 391,Rs. 1399,4.4,235,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28119814/2024/3/13/faeb166e-a4da-4c17-b95f-8558816a44161710332245000-DILLINGER-Women-Tshirts-3201710332244497-1.jpg",https://www.myntra.com/tshirts/dillinger/dillinger-women-graphic-printed-embossed-oversized-t-shirt/28119814/buy
28965270,HELLCAT,Printed Oversized T-shirt,Rs. 299,Rs. 1499,4,1.1k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28965270/2024/4/16/7b728772-fa1d-4f23-aeac-3034cf3cb5c51713262064084HELLCATWomenPrintedRawEdgeT-shirt1.jpg",https://www.myntra.com/tshirts/hellcat/hellcat-graphic-printed-round-neck-oversized-t-shirt/28965270/buy
