id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
28486380,SANSKAR,Printed Cotton Saree,Rs. 999,Rs. 9990,3.8,95,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28486380/2024/3/24/9d69fd2f-35cb-4be4-9491-8b9e9e90aa6b1711277566533SANSKARBlackCottonIkkatZariBorderedPrintedSaree1.jpg",https://www.myntra.com/sarees/sanskar/sanskar-printed-zari-cotton-saree/28486380/buy
21173660,HERE&NOW,Embroidered Georgette Kurta,Rs. 999,Rs. 9999,4.1,553,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21173660/2022/12/13/576e5d1d-3ac5-4a30-8c96-9b06e62db0a21670926810941HERENOWWomensYellowEthnicMotifsEmbroideredThreadstraightWork1.jpg",https://www.myntra.com/kurtas/here%26now/herenow-women-yellow-ethnic-motifs-embroidered-thread-work-georgette-kurta/21173660/buy
30899978,Kriyansh,Woven Design Kanjeevaram Saree,Rs. 1794,Rs. 17949,2,5,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/11/bUS2IynV_d1ce1a00beab4781a5f5c5c9427f3cc6.jpg",https://www.myntra.com/sarees/kriyansh/kriyansh-woven-design-zari-pure-silk-kanjeevaram-saree/30899978/buy
21739018,VAIRAGEE,Embellished Sequinned Saree,Rs. 999,Rs. 9999,3.9,209,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21739018/2023/2/14/aa9cb9f6-a9f5-4fe1-91b3-b9104c0817291676353583007-VAIRAGEE-Embellished-Striped-Sequinned-Saree-869167635358228-1.jpg",https://www.myntra.com/sarees/vairagee/vairagee-embellished-striped-sequinned-saree/21739018/buy
21173658,HERE&NOW,Embroidered Georgette Kurta,Rs. 999,Rs. 9999,4.1,554,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21173658/2022/12/13/7104b11e-253b-4713-b4fd-073f398861341670926580757HERENOWWomensPeachEthnicMotifsEmbroideredThreadstraightWorkK1.jpg",https://www.myntra.com/kurtas/here%26now/herenow-women-peach-coloured-ethnic-motifs-embroidered-georgette-kurta/21173658/buy
30899680,Kriyansh,Woven Design Kanjeevaram Saree,Rs. 1799,Rs. 17999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/11/2XbmsFcB_1533beb1c8eb4826abc145541aac6e6e.jpg",https://www.myntra.com/sarees/kriyansh/kriyansh-woven-design-zari-kanjeevaram-saree-with-blouse/30899680/buy
25022062,DIVASTRI,Woven Design Banarasi Saree,Rs. 640,Rs. 6400,3.6,19,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25022062/2023/9/18/03442d9b-ec30-480f-84fe-c91f144a31a51695011998802DIVASTRIBurgundyGold-TonedEthnicMotifsZariSilkBlendBanarasiS1.jpg",https://www.myntra.com/sarees/divastri/divastri-ethnic-motifs-woven-design-zari-banarasi-saree/25022062/buy
25022060,DIVASTRI,Woven Design Banarasi Saree,Rs. 640,Rs. 6400,3.7,20,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25022060/2023/9/18/718c80dd-230a-47df-a762-d57d958dcf721695011995518DIVASTRINavyBlueGold-TonedWovenDesignZariSilkBlendBanarasiSa1.jpg",https://www.myntra.com/sarees/divastri/divastri-ethnic-motifs-woven-design-zari-banarasi-saree/25022060/buy
21173668,HERE&NOW,Embroidered Georgette Kurta,Rs. 999,Rs. 9999,4.1,553,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21173668/2022/12/13/febf137f-b3a9-46c7-9dba-e28b7b18916a1670927333863HERENOWWomensTealEthnicMotifsEmbroideredThreadstraightWorkKu1.jpg",https://www.myntra.com/kurtas/here%26now/herenow-women-navy-blue-ethnic-motifs-embroidered-thread-work-georgette-kurta/21173668/buy
28875264,Mitera,Printed Ready To Wear Saree,Rs. 1169,Rs. 8999,3.7,152,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28875264/2024/4/11/2d091165-9f49-4bf7-897a-a6c881f781a41712845989241PinkDyedReadyToWearSareeUnstitchedBlousePiece1.jpg",https://www.myntra.com/sarees/mitera/mitera-pink--blue-ombre-printed-ready-to-wear-saree/28875264/buy
