id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
31998578,DEVATITHI,Ethnic Motifs Zari Saree,Rs. 3190,Rs. 14500,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31998578/2024/12/17/5129a07f-2b6b-4bab-86d3-b1be91fa4ade1734443055171DEVATITHIEthnicMotifsZariSatinSaree1.jpg",https://www.myntra.com/sarees/devatithi/devatithi-ethnic-motifs-woven-design-zari-saree/31998578/buy
31975305,KALINI,Ethnic Motifs Chanderi Organza Saree,Rs. 2499,Rs. 7999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31975305/2024/12/14/058f477e-8ee8-42ef-980f-5d6ab7c617ce1734185488481Sarees1.jpg",https://www.myntra.com/sarees/kalini/kalini-ethnic-motifs-zari-organza-chanderi-saree/31975305/buy
31967887,Rujave,Embellished Heavy Work Saree,Rs. 1999,Rs. 3999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31967887/2024/12/14/e3433dda-e1e9-47c3-96e5-2b3c5cacf0d71734159518781NEWSUPERHITBOLLYWOODSAREE1.jpg",https://www.myntra.com/sarees/rujave/rujave-embellished-beads-and-stones-pure-georgette-heavy-work-saree/31967887/buy
31967858,Meena Bazaar,Unstitched Dress Material,Rs. 1746,Rs. 2495,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31967858/2024/12/14/2446232e-ca32-4e29-9bb5-8db5008b223d1734151579615DressMaterial1.jpg",https://www.myntra.com/dress-material/meena+bazaar/meena-bazaar-floral-embroidered-sequined-cotton-unstitched-dress-material/31967858/buy
31950086,Geroo Luxe,Embellished Aari Work Saree,0,Rs. 14000,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31950086/2024/12/12/38cb2ce1-518e-47c4-8309-9da1092d62201734016050653GerooLuxeEthnicMotifsAariWorkPureChiffonSaree1.jpg",https://www.myntra.com/sarees/geroo+luxe/geroo-luxe-embellished-aari-work-pure-chiffon-saree/31950086/buy
31985457,SUKRUTI DESIGN,Women Printed Kurta with Trousers,Rs. 3420,Rs. 3600,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31985457/2024/12/16/547b82b7-73ee-4e5b-9308-9891349d29d61734356976496PUREMUSLINSILK1.jpg",https://www.myntra.com/kurta-sets/sukruti+design/sukruti-design-women-ethnic-motifs-printed-panelled-pure-silk-kurta-with-trousers/31985457/buy
31969265,SARRAS,Paisley Printed Kurta Set,Rs. 1727,Rs. 6399,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31969265/2024/12/14/941e8860-da2c-4cc2-b4b6-859298999b711734153371624KurtaSets1.jpg",https://www.myntra.com/kurta-sets/sarras/sarras-paisley-printed-pure-cotton-straight-kurta-with-trousers--dupatta/31969265/buy
31967532,Panzora,Ready to Wear Saree,Rs. 1709,Rs. 8999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31967532/2024/12/14/cb73e335-920f-449f-b1bc-7d74d4c6ca9d1734114953103PurpleReadytoWearChiffonSareeWithUnstitchedBlousePiece1.jpg",https://www.myntra.com/sarees/panzora/panzora-ethnic-motifs-woven-design-zari-ready-to-wear-saree/31967532/buy
31960942,Vismay,Women Printed Straight Kurta,0,Rs. 1299,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31960942/2024/12/13/5b535f70-2d45-4085-8f7d-5c622407e1411734089995594Kurtis1.jpg",https://www.myntra.com/kurtas/vismay/vismay-women-ethnic-motifs-printed-straight-kurta/31960942/buy
31942247,VARNI FABRICS,Woven Design Banarasi Saree,Rs. 3299,Rs. 9998,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31942247/2024/12/12/25f11da6-d44d-4891-b357-b5605b53c8221733992815173VARNIFABRICSPolkaDotZariPureSilkBanarasiSaree1.jpg",https://www.myntra.com/sarees/varni+fabrics/varni-fabrics-woven-design-zari-pure-silk-banarasi-saree/31942247/buy
