id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
29140414,all about you,Floral Design Winter Kurta,Rs. 1599,Rs. 3199,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29140414/2024/11/27/c66c55bb-f7cd-465b-97e7-05605c31f8321732683017803-all-about-you-Women-Kurtas-5891732683017262-1.jpg",https://www.myntra.com/kurtas/all+about+you/all-about-you-floral-design-knitted-winter-kurta/29140414/buy
31127330,Jaipur Kurti,Printed Pure Wool Kurta Set,Rs. 3639,Rs. 5199,5,5,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/27/dDuP7PV7_96b8681aab43443da88da718321decac.jpg",https://www.myntra.com/kurta-sets/jaipur+kurti/jaipur-kurti-woolen-ethnic-printed-kurta-set-with-dupatta/31127330/buy
31211629,Libas,Embroidered Woollen Kurta,Rs. 1619,Rs. 3599,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31211629/2024/10/9/196604aa-a26c-445b-bf24-577591a436251728456825485-Libas-Women-Floral-Embroidered-Thread-Work-Woollen-Kurta-317-1.jpg",https://www.myntra.com/kurtas/libas/libas-floral-embroidered-straight-woollen-kurta/31211629/buy
31127458,Jaipur Kurti,Printed Pure Wool Kurta Set,Rs. 3119,Rs. 5199,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/26/NEb6uqWl_2b7fae7e44a54357aeec6c0987386ec6.jpg",https://www.myntra.com/kurta-sets/jaipur+kurti/jaipur-kurti-woolen-ethnic-printed-kurta-set-with-dupatta/31127458/buy
31157524,KEIKO,Printed Straight Kurta Set,Rs. 1499,Rs. 2999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/28/Qx4VH9z8_e3081c5cffe442bdbfb13af80d7ec17e.jpg",https://www.myntra.com/kurta-sets/keiko/keiko-ethnic-motifs-printed-mandarin-collar-straight-kurta-with-trousers/31157524/buy
31305703,Libas,Floral Embroidered Kurta Set,Rs. 3599,Rs. 7999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31305703/2024/10/21/03cf1068-e15c-4744-8672-c1a55e9aaae41729500942151-Libas-Women-Floral-Embroidered-Regular-Velvet-Kurta-with-Pal-1.jpg",https://www.myntra.com/kurta-sets/libas/libas-floral-embroidered-straight-sequinned-velvet-kurta-with-palazzos--dupatta/31305703/buy
31357061,Cayman,Kurta With Trousers & Dupatta,Rs. 5147,Rs. 10295,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31357061/2024/11/6/ebba833b-7baf-4b9f-8d25-a58d0808faa41730897973312-Cayman-Women-Kurta-Sets-8571730897972610-1.jpg",https://www.myntra.com/kurta-sets/cayman/cayman-ethnic-motifs-printed-beads--stones-pure-wool-kurta-with-trousers--with-dupatta/31357061/buy
31375543,House of Chikankari,Embroidered Woollen Kurta,0,Rs. 2550,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/21/CO400tqU_d3cc83f6f44f413a99dc289b99820fa0.jpg",https://www.myntra.com/kurtas/house+of+chikankari/house-of-chikankari-ethnic-motifs-embroidered-aari-work-woollen-straight-kurta/31375543/buy
31135155,EXTRA LOVE BY LIBAS,Printed Mirror Work Kurta Set,Rs. 1899,Rs. 4999,5,6,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/27/7YeIai9e_8f144e5d7c8643a0b3289bb611c0ac86.jpg",https://www.myntra.com/kurta-sets/extra+love+by+libas/extra-love-by-libas-plus-size-ethnic-motifs-printed-mirror-work-kurta--trouser--dupatta/31135155/buy
30806253,Ganga,Printed Raw Silk Kurta Set,0,Rs. 3590,5,6,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/31/SuhwbA5p_68820e9f8d854ec0b002141def76cd32.jpg",https://www.myntra.com/kurta-sets/ganga/ganga-floral-printed-raw-silk-anarkali-kurta-with-palazzos/30806253/buy
