id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
21173660,HERE&NOW,Embroidered Georgette Kurta,Rs. 999,Rs. 9999,4.1,553,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21173660/2022/12/13/576e5d1d-3ac5-4a30-8c96-9b06e62db0a21670926810941HERENOWWomensYellowEthnicMotifsEmbroideredThreadstraightWork1.jpg",https://www.myntra.com/kurtas/here%26now/herenow-women-yellow-ethnic-motifs-embroidered-thread-work-georgette-kurta/21173660/buy
31611415,BAESD,Women Embroidered Kurta,Rs. 789,Rs. 7899,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/12/WSW2cwwv_f7e4eaed1c384efbaeef8e30976419ad.jpg",https://www.myntra.com/kurtas/baesd/baesd-women-embroidered-sequinned-maternity-kurta/31611415/buy
31611418,BAESD,Women Embroidered Kurta,Rs. 789,Rs. 7899,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/12/doYNyP3g_6e9f437488824611b66ed55990546dac.jpg",https://www.myntra.com/kurtas/baesd/baesd-women-embroidered-sequinned-maternity-kurta/31611418/buy
21173658,HERE&NOW,Embroidered Georgette Kurta,Rs. 999,Rs. 9999,4.1,554,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21173658/2022/12/13/7104b11e-253b-4713-b4fd-073f398861341670926580757HERENOWWomensPeachEthnicMotifsEmbroideredThreadstraightWorkK1.jpg",https://www.myntra.com/kurtas/here%26now/herenow-women-peach-coloured-ethnic-motifs-embroidered-georgette-kurta/21173658/buy
21173668,HERE&NOW,Embroidered Georgette Kurta,Rs. 999,Rs. 9999,4.1,553,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21173668/2022/12/13/febf137f-b3a9-46c7-9dba-e28b7b18916a1670927333863HERENOWWomensTealEthnicMotifsEmbroideredThreadstraightWorkKu1.jpg",https://www.myntra.com/kurtas/here%26now/herenow-women-navy-blue-ethnic-motifs-embroidered-thread-work-georgette-kurta/21173668/buy
23833386,V TRADITION,Kurta with Trousers & Dupatta,Rs. 899,Rs. 8999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23833386/2023/7/10/0c34f0dc-b7f7-49b9-ae1a-8c5ff48a0ad61688988551694-V-TRADITION-Women-Kurta-Sets-3731688988551227-1.jpg",https://www.myntra.com/kurta-sets/v+tradition/v-tradition-women-yoke-design-regular-gotta-patti-kurta-with-trousers--with-dupatta/23833386/buy
30009952,KALINI,Woven Design Zari Kurta,Rs. 499,Rs. 4999,3.5,30,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30009952/2024/6/21/aebcd130-b3bb-46d4-ab39-d76754d634061718948119789ClassyShouderStrapsStraightKurti1.jpg",https://www.myntra.com/kurtas/kalini/kalini-woven-design-zari-kurta/30009952/buy
28007052,Sangria,Printed Kurta With Dhoti Pant,Rs. 599,Rs. 5999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28007052/2024/3/4/70d56dc5-79dd-4f69-ab0d-2bb541322b521709530039919WHITEKANTHABLUEBOOTABREEZEPLEASEDHOTISET1.jpg",https://www.myntra.com/kurta-sets/sangria/sangria-floral-boota-printed-sleeveless-a-line-pure-cotton-kurta-with-dhoti-pant/28007052/buy
30009951,KALINI,Woven Design Zari Kurta,Rs. 499,Rs. 4999,3.9,16,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30009951/2024/6/21/404e47d0-bc43-4952-abc4-d8e222e488d81718949008394BlackStraightReularKurti1.jpg",https://www.myntra.com/kurtas/kalini/kalini-woven-design-zari-kurta/30009951/buy
21173666,HERE&NOW,Embroidered Georgette Kurta,Rs. 999,Rs. 9999,4.1,553,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21173666/2022/12/13/38711161-928b-4a85-838f-5134e6f012ba1670927297371HERENOWWomensTurquoiseBlueEthnicMotifsEmbroideredThreadstrai1.jpg",https://www.myntra.com/kurtas/here%26now/herenow-women-turquoise-blue-ethnic-motifs-embroidered-thread-work-georgette-kurta/21173666/buy
17138690,Somras,Women Printed Kurta with Trousers With Dupatta,Rs. 799,Rs. 7999,4.3,10,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17138690/2022/2/11/a3fd0987-07fe-4a99-a85d-7f4a405fd7f91644587409776MustradKurtaWithPantDupptaSets1.jpg",https://www.myntra.com/kurta-sets/somras/somras-women-pink-ethnic-motifs-printed-pure-cotton-kurta-with-trousers--with-dupatta/17138690/buy
27599334,KALINI,Embroidered A-Line Kurta,Rs. 769,Rs. 7699,4.4,34,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27599334/2024/2/14/16e06597-00da-4bdf-ac85-ee8a8cbd99801707899515655KALINIWomenEmbroideredKurta1.jpg",https://www.myntra.com/kurtas/kalini/kalini-floral-embroidered-round-neck-sequinned-pleated-a-line-kurta/27599334/buy
25004760,SHANVIKA,Women Floral Embroidered Kurta,Rs. 709,Rs. 7099,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25004760/2023/10/5/819c984c-76d0-4768-9991-c23f557165b31696508275861-SHANVIKA-Women-Floral-Embroidered-Keyhole-Neck-Cotton-Chikan-1.jpg",https://www.myntra.com/kurtas/shanvika/shanvika-women-floral-embroidered-keyhole-neck-cotton-chikankari-kurta/25004760/buy
21173664,HERE&NOW,Embroidered Georgette Kurta,Rs. 999,Rs. 9999,4.1,554,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21173664/2022/12/13/48c4f25f-e885-4654-b5b0-a50b0a1dce951670926529537HERENOWWomensGreyEthnicMotifsEmbroideredThreadstraightWorkKu1.jpg",https://www.myntra.com/kurtas/here%26now/herenow-women-grey-ethnic-motifs-embroidered-thread-work-georgette-kurta/21173664/buy
29956723,KALINI,Cotton Anarkali Kurta,Rs. 849,Rs. 8490,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29956723/2024/6/13/9d27e901-db98-4403-bd74-dcf3231d62331718257695023KALINIWomenEthnicMotifsChikankariHandloomAnarkaliKurta1.jpg",https://www.myntra.com/kurtas/kalini/kalini-round-neck-chevron-printed-cotton-anarkali-kurta/29956723/buy
27599398,KALINI,Embroidered Anarkali Kurta,Rs. 769,Rs. 7699,4.3,22,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27599398/2024/2/14/7299d1ec-0e81-4bbe-815e-f31356978be21707901106303KALINIWomenEmbroideredExtendedSleevesThreadWorkAnarkaliKurta1.jpg",https://www.myntra.com/kurtas/kalini/kalini-floral-embroidered-thread-work-anarkali-kurta/27599398/buy
25004756,SHANVIKA,Women Floral Embroidered Kurta,Rs. 709,Rs. 7099,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25004756/2023/10/5/5cc71928-a612-475d-8fb1-dd7acac3a3b31696508264670-SHANVIKA-Women-Floral-Embroidered-Cotton-Chikankari-Kurta-72-1.jpg",https://www.myntra.com/kurtas/shanvika/shanvika-women-floral-embroidered-cotton-chikankari-kurta/25004756/buy
29956715,KALINI,Cotton Anarkali Kurta,Rs. 689,Rs. 6890,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29956715/2024/6/13/5224696b-08a3-4a6a-b154-98cde885a83e1718260406125KALINIWomenQuirkyEmbroideredKeyholeNeckThreadWorkHandloomAna1.jpg",https://www.myntra.com/kurtas/kalini/kalini-v-neck-puff-sleeves-floral-printed-cotton-anarkali-kurta/29956715/buy
30151271,KALINI,Striped Cotton Straight Kurta,Rs. 649,Rs. 6490,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30151271/2024/7/8/06c46cd3-7035-4b5b-950b-af7cac93a59d1720427388923KALINIWomenStripedSequinnedHandloomPathaniKurta1.jpg",https://www.myntra.com/kurtas/kalini/kalini-striped-mandarin-collar-cotton-straight-kurta/30151271/buy
25004750,SHANVIKA,Women Floral Embroidered Kurta,Rs. 709,Rs. 7099,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25004750/2023/10/5/770afbe8-eadb-4c37-92ee-08a37298698c1696502134432-SHANVIKA-Women-Floral-Embroidered-Cotton-Chikankari-Kurta-24-1.jpg",https://www.myntra.com/kurtas/shanvika/shanvika-women-floral-embroidered-cotton-chikankari-kurta/25004750/buy
31586236,PARTHVI,Pure Cotton Kurta Set,Rs. 6666,Rs. 66667,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/9/CuVUcFNX_0d22a7bf9ee54cbba7f939eb43a0a7a4.jpg",https://www.myntra.com/kurta-sets/parthvi/parthvi-floral-printed-angrakha-thread-work-pure-cotton-kurta-with-trouser--dupatta/31586236/buy
31586237,PARTHVI,Pure Cotton Kurta Set,Rs. 6666,Rs. 66667,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/9/EXoWKa2Y_3d1c11eed86c4c8e8ac9700f6a643358.jpg",https://www.myntra.com/kurta-sets/parthvi/parthvi-floral-printed-panelled-thread-work-pure-cotton-kurta-with-trouser--dupatta/31586237/buy
29645044,KALINI,Women Printed Kurta Trousers,Rs. 999,Rs. 9999,3,23,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29645044/2024/5/20/bc88f272-388c-48d7-9b0f-4ae9d3c4e2031716183085625KALINIWomenLeheriyaPrintedRegularKurtawithTrousers1.jpg",https://www.myntra.com/kurta-sets/kalini/kalini-women-leheriya-printed-regular-kurta-with-trousers/29645044/buy
29645052,KALINI,Women Printed Kurta & Trousers,Rs. 999,Rs. 9999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29645052/2024/5/20/349d1ff4-304b-4ff9-8003-d1c0069d4fc61716187658369KALINIWomenFloralPrintedRegularKurtawithTrousers1.jpg",https://www.myntra.com/kurta-sets/kalini/kalini-women-floral-printed-regular-kurta-with-trousers/29645052/buy
27599396,KALINI,Yoke Design A-Line Kurta,Rs. 769,Rs. 7699,4.4,34,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27599396/2024/2/14/e1a41bf2-cad6-4117-b207-32233d1552081707899474438KALINIWomenAnarkaliKurta1.jpg",https://www.myntra.com/kurtas/kalini/kalini-yoke-design-thread-work-a-line-kurta/27599396/buy
