id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
29726958,KALINI,Kurta With Trousers & Dupatta,Rs. 1748,Rs. 4995,4.1,5.3k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29726958/2024/5/23/08cffc48-3d7f-4ed0-a85f-823f64deea881716460563406KurtaSets1.jpg",https://www.myntra.com/kurta-sets/kalini/kalini-bandhani-embroidered-regular-sequinned-kurta-with-trouser--dupatta/29726958/buy
27950524,Sangria,Embroidered A-Line Kurta Sets,Rs. 2260,Rs. 6649,4.1,5.2k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27950524/2024/2/29/21d77116-a47b-43d8-a69d-073fc26e55451709207862807SangriaOrangeBitaliyanZariSequenceEmbroideredKurtaWithPantAn1.jpg",https://www.myntra.com/kurta-sets/sangria/sangria-embroidered-boat-neck-kurta-with-trousers--dupatta/27950524/buy
29629130,Indo Era,Embroidered Kurta Set,Rs. 1899,Rs. 7999,4.3,3.5k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29629130/2024/5/18/c78e6ae4-0d17-4a46-915e-d955d92487a01716000841537IndoEraBlackEmbroideredStraightKurtaSalwarWithDupattaset1.jpg",https://www.myntra.com/kurta-sets/indo+era/indo-era-ethnic-motifs-embroidered-regular-thread-work-kurta-with-salwar--dupatta/29629130/buy
31141456,GoSriKi,Printed Anarkali Kurta Set,Rs. 1129,Rs. 4345,3.9,1.1k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31141456/2024/11/19/c2199616-b230-41d2-b2ad-7911a8502cc71732013802268-GoSriKi-Ethnic-Motifs-Printed-Pleated-Mirror-Work-Anarkali-K-1.jpg",https://www.myntra.com/kurta-sets/gosriki/gosriki-ethnic-motifs-printed-pleated-mirror-work-anarkali-kurta-with-palazzos--dupatta/31141456/buy
19674622,Libas,Women Kurta with Trousers With Dupatta,Rs. 3119,Rs. 7999,4.5,5.1k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19674622/2024/3/26/3adc5041-4dcc-4c76-9077-4053ab2b307f1711426468077-Libas-Women-Peach-Coloured-Floral-Kurta-with-Trousers--Dupat-12.jpg",https://www.myntra.com/kurta-sets/libas/libas-women-peach-coloured-floral-kurta-with-trousers--dupatta/19674622/buy
23158876,anayna,Kurta With Trousers & Dupatta,Rs. 1711,Rs. 4890,4.3,12.5k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23158876/2023/10/4/ba6838bf-93c1-47d0-8948-790b3727f5711696415342531-anayna--Anarkali-Pure-Cotton-Kurta-With-Trousers--Dupatta-45-12.jpg",https://www.myntra.com/kurta-sets/anayna/anayna--anarkali-pure-cotton-kurta-with-trousers--dupatta/23158876/buy
30938093,KALINI,Embroidered Kurta Set,Rs. 1554,Rs. 8179,3.9,581,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/19/bkYDG8Zu_074c0fa94e894888b84570a977a92e59.jpg",https://www.myntra.com/kurta-sets/kalini/kalini-floral-embroidered-straight-kurta-with-trousers--dupatta/30938093/buy
30271855,Sangria,Embroidered A-Line Kurta Set,Rs. 2223,Rs. 6949,3.9,652,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30271855/2024/7/20/fc97cfb5-4c60-4675-9c7e-a0fde116e2a41721448915014SangriaEmbroideredA-LineKurtaWithTrouserDupattaSet1.jpg",https://www.myntra.com/kurta-sets/sangria/sangria-navy-blue-ethnic-motifs-embroidered-a-line-kurta-with-trouser--dupatta/30271855/buy
20953150,Varanga,Women Yoke Design Kurta Sets,Rs. 1979,Rs. 5999,3.9,16.1k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20953150/2022/12/1/3a3864b2-fa53-4b50-8ecf-787347596ce31669892668710-Varanga-Women-Kurta-Sets-1081669892668125-1.jpg",https://www.myntra.com/kurta-sets/varanga/varanga-floral-zari-embroidered-chanderi-silk-kurta-with-trouser--sequined-dupatta/20953150/buy
24838938,Indo Era,Kurta With Trousers & Dupatta,Rs. 1899,Rs. 5999,4.3,5.6k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24838938/2023/9/7/eb08dc7c-2ee6-42b3-b268-2c69be504bfa1694025006164IndoEraWhiteEmbroideredA-LineKurtaTrousersWithDupattaSet1.jpg",https://www.myntra.com/kurta-sets/indo+era/indo-era-floral-embroidered-thread-work-a-line-kurta-with-trousers--dupatta/24838938/buy
