id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
31122378,GULAB CHAND TRENDS,Women Printed Top,Rs. 720,Rs. 1800,5,5,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/26/hJWEYqlh_d843700b7736468ea5831ed323612739.jpg",https://www.myntra.com/tops/gulab+chand+trends/gulab-chand-trends-women-floral-printed-mandarin-collar-cotton-top/31122378/buy
31448042,EXTRA LOVE BY LIBAS,Plus Size Shirt Collar Tunic,Rs. 749,Rs. 1499,5,5,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31448042/2024/10/31/d9f0f04f-c88a-4fa9-887f-c533ab9539ea1730343894526-EXTRA-LOVE-BY-LIBAS-Mandarin-Collar-Tunic-2411730343894151-1.jpg",https://www.myntra.com/tunics/extra+love+by+libas/extra-love-by-libas-women-plus-size-shirt-collar-three-quarter-sleeves-tunics/31448042/buy
29394306,Nayam By Lakshita,Embroidered Linen Tunic,Rs. 897,Rs. 1995,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29394306/2024/10/11/330d554e-4975-44c8-8eb4-ce1f494b51701728631144460-Nayam-By-Lakshita-Embroidered-Linen-Tunic-5691728631143830-1.jpg",https://www.myntra.com/tunics/nayam+by+lakshita/nayam-by-lakshita-embroidered-linen-tunic/29394306/buy
31122382,GULAB CHAND TRENDS,Women Printed Top,Rs. 720,Rs. 1800,5,5,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/26/m60W8JQd_b07e0d7e8e0343b09acc2bf3440d4414.jpg",https://www.myntra.com/tops/gulab+chand+trends/gulab-chand-trends-women-floral-printed-mandarin-collar-cotton-top/31122382/buy
25686726,Ancestry,Floral Printed Wrap Top,Rs. 1495,Rs. 2990,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25686726/2023/10/30/7c0c77a6-3a13-4c03-b998-183581429aed1698669658370AncestryPinkFloralPrintWrapCropTop1.jpg",https://www.myntra.com/tops/ancestry/ancestry-floral-printed-wrap-crop-top/25686726/buy
29997256,FERANOID,Floral Printed Pure Cotton Kurti,Rs. 689,Rs. 2999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29997256/2024/7/2/0783493b-f5f1-4b16-abfc-0300042644071719905643545-FERANOID-Women-Kurtis-4141719905643149-1.jpg",https://www.myntra.com/kurtis/feranoid/feranoid-floral-printed-pure-cotton-kurti/29997256/buy
20723364,Fabindia,Geometric Printed Cotton Kurti,0,Rs. 1599,5,9,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20723364/2022/11/11/a5671f74-d976-48d3-99e1-f7cfefaffb9b1668179497828FabindiaPinkCottonIkatShortKurta1.jpg",https://www.myntra.com/kurtis/fabindia/fabindia-pink-geometric-printed-v-neck-cotton-kurti/20723364/buy
31357336,Fabinn,Floral Printed Anarkali Kurti,Rs. 1223,Rs. 3599,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/18/U14oqPyH_a1ed995ccb5e4dd094ade2407bf5d3f8.jpg",https://www.myntra.com/kurtis/fabinn/fabinn-women-floral-printed-anarkali-kurti/31357336/buy
31122375,GULAB CHAND TRENDS,Women Printed Top,Rs. 720,Rs. 1800,5,5,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/26/ynM6Mc6R_5b0f571c053a4c5eb356d1283fde1570.jpg",https://www.myntra.com/tops/gulab+chand+trends/gulab-chand-trends-women-floral-printed-mandarin-collar-cotton-top/31122375/buy
25163530,HERE&NOW,Embroidered A-Line Kurti,Rs. 692,Rs. 2099,5,9,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25163530/2023/9/26/85420a32-420c-4c2d-86df-0d8734e644bf1695672188786HERENOWBlueTop1.jpg",https://www.myntra.com/kurtis/here%26now/herenow-ethnic-motifs-embroidered-a-line-kurti/25163530/buy
