id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
21741658,Sangria,Floral Print Mandarin Collar Top,Rs. 383,Rs. 3199,4.1,244,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21741658/2023/2/7/95676c9d-82d7-41ae-bb7a-5e95c9afc6e91675750071796-Blue-Floral-Printed-Poly-Crepe-A-Line-Short-Top-382167575007-1.jpg",https://www.myntra.com/tops/sangria/sangria-floral-print-mandarin-collar-top/21741658/buy
30832585,GORDHAN,Women Solid V-Neck Short Tunic,Rs. 599,Rs. 4999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/6/Zkjw42zt_b77e1f4fe0334a2594b37d3f71a827d8.jpg",https://www.myntra.com/tunics/gordhan/gordhan-women-solid-v-neck-short-tunic/30832585/buy
30832493,GORDHAN,Women V-Neck Short Tunic,Rs. 599,Rs. 4999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/6/p0cI5V0Y_e55ab565cb57476f8d3e9786cd727131.jpg",https://www.myntra.com/tunics/gordhan/gordhan-women-v-neck-short-tunic/30832493/buy
30833526,GORDHAN,Women Short Tunic,Rs. 599,Rs. 4999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/5/ZA0RydPD_fca89e3e2b3f4f33a5223db8b23350f3.jpg",https://www.myntra.com/tunics/gordhan/gordhan-women-mandarin-neck-short-tunic/30833526/buy
31601692,Kairab,Striped A-Line Kurti,Rs. 454,Rs. 3499,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/11/ZShb1MRt_3b21cbfed44c4e639ed50e3cb53fea53.jpg",https://www.myntra.com/kurtis/kairab/kairab-striped-mandarin-collar-a-line-kurti/31601692/buy
25347638,KALINI,Floral Print Kaftan Top,Rs. 585,Rs. 4500,3.7,9,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25347638/2023/10/6/e43ce9b0-c928-4232-821f-412d9c5810ef1696567715345KALINIGreenFloralPrintExtendedSleevesPureSilkCinchedWaistTop1.jpg",https://www.myntra.com/tops/kalini/kalini-floral-printed-v-neck-kimono-sleeve-waist-tie-ups-pure-silk-kaftan-top/25347638/buy
27831976,NAINVISH,Print Kimono Sleeve Top,Rs. 389,Rs. 2999,3.8,14,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27831976/2024/2/24/15a401d8-9868-4e00-b950-ac5290c048831708772143738NAINVISHPrintKimonoSleeveTop1.jpg",https://www.myntra.com/tops/nainvish/nainvish-print-kimono-sleeve-top/27831976/buy
31601767,Kairab,Striped A-Line Kurti,Rs. 454,Rs. 3499,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/11/SRi0FAaB_e876f560770e4180b079e7ae50079840.jpg",https://www.myntra.com/kurtis/kairab/kairab-striped-mandarin-collar-a-line-kurti/31601767/buy
27831982,NAINVISH,Polka Dot Print High-Low Top,Rs. 389,Rs. 2999,2.8,17,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27831982/2024/2/24/1847c809-820e-4457-b8e9-4031ec4c6af41708772177218NAINVISHPolkaDotPrintHigh-LowTop1.jpg",https://www.myntra.com/tops/nainvish/nainvish-polka-dot-print-high-low-top/27831982/buy
25347642,KALINI,Floral Print Kaftan Top,Rs. 585,Rs. 4500,4.1,8,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25347642/2023/10/6/b994a407-49ba-4342-869f-61f66aa48a7a1696566961126KALINILimeGreenFloralPrintExtendedSleevesPureSilkCinchedWais1.jpg",https://www.myntra.com/tops/kalini/kalini-floral-printed-v-neck-kimono-sleeve-waist-tie-ups-pure-silk-kaftan-top/25347642/buy
