id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
32000908,ADA,Ethnic Motifs Embroidered Kurti,0,Rs. 1740,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32000908/2024/12/18/410a6ee8-1377-4468-95f3-115739c25b661734467748152ElegantlyEmbroideredBlackChikankariMuslinKurti1.jpg",https://www.myntra.com/kurtis/ada/ada-ethnic-motifs-embroidered-chikankari-chikankari-kurti/32000908/buy
31971285,Janasya,Mandarin Collar Printed Tunic,Rs. 1198,Rs. 2219,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31971285/2024/12/14/851f100e-03be-4dfa-81c0-edcd9c09d35f1734171190937JanasyaWomensPurplePureCottonFloralPrintedFlaredTunic1.jpg",https://www.myntra.com/tunics/janasya/janasya-mandarin-collar-printed-tunic/31971285/buy
31985159,PARAMOUNT CHIKAN,Ethnic Motifs Embroidered Kurti,Rs. 1259,Rs. 2999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31985159/2024/12/16/3a17bbb9-d44b-42eb-997e-b459030ca9471734354876470WomenHandEmbroideredLucknowiChikankariCottonEthnicMotifsMage1.jpg",https://www.myntra.com/kurtis/paramount+chikan/paramount-chikan-ethnic-motifs-embroidered-chikankari-chikankari-kurti/31985159/buy
32000913,ADA,Ethnic Motifs Embroidered Kurti,0,Rs. 1740,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32000913/2024/12/17/69fa4044-752e-4ad1-8bd8-82bc8be4bf941734445551794ElegantlyEmbroideredBlueChikankariMuslinKurti1.jpg",https://www.myntra.com/kurtis/ada/ada-ethnic-motifs-embroidered-chikankari-chikankari-kurti/32000913/buy
31974851,Shree,Liva Mandarin Collar Printed Tunic,Rs. 1599,Rs. 1999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31974851/2024/12/14/8fa9057e-a74f-4a71-87c4-1c5e31a25a511734184320372ShreeWomenWinterVelvetMustardPrintedTunic1.jpg",https://www.myntra.com/tunics/shree/shree-liva-mandarin-collar-printed-tunic/31974851/buy
31947521,ADA,Women Embroidered Kurti,0,Rs. 1590,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31947521/2024/12/12/3dc5e65f-696e-440a-8149-85fec51277be1734007823340ADAEthnicMotifsEmbroideredThreadWorkThreadWorkKurti1.jpg",https://www.myntra.com/kurtis/ada/ada-women-ethnic-motifs-embroidered-thread-work-thread-work-kurti/31947521/buy
31947489,ADA,Women Embroidered Kurti,0,Rs. 1590,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31947489/2024/12/12/f3a5ea97-e9c4-47d7-94cd-8097d3d990b11734007813185ADAEthnicMotifsEmbroideredThreadWorkThreadWorkKurti1.jpg",https://www.myntra.com/kurtis/ada/ada-women-ethnic-motifs-embroidered-thread-work-thread-work-kurti/31947489/buy
32000918,ADA,Ethnic Motifs Embroidered Kurti,0,Rs. 1740,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32000918/2024/12/17/4f765abb-f29c-40dc-9b47-3e7d58bc2a681734445706905ElegantlyEmbroideredSeaGreenChikankariMuslinKurti1.jpg",https://www.myntra.com/kurtis/ada/ada-ethnic-motifs-embroidered-chikankari-chikankari-kurti/32000918/buy
31947523,ADA,Women Embroidered Kurti,0,Rs. 1590,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31947523/2024/12/12/dae8e0c6-8c34-4171-9bf1-139d8b97b1ab1734007833220ADAEthnicMotifsEmbroideredThreadWorkThreadWorkKurti1.jpg",https://www.myntra.com/kurtis/ada/ada-women-ethnic-motifs-embroidered-thread-work-kurti/31947523/buy
32000903,ADA,Embroidered Chikankari Kurti,0,Rs. 1740,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32000903/2024/12/17/9317e367-a48a-45be-bee7-3369d178e0071734445492580ElegantlyEmbroideredYellowChikankariMuslinKurti1.jpg",https://www.myntra.com/kurtis/ada/ada-ethnic-motifs-embroidered-chikankari-kurti/32000903/buy
31947496,ADA,Women Embroidered Kurti,0,Rs. 1590,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31947496/2024/12/12/bc1171dd-d41c-4519-8e51-2745c0347bc91734007811428ADAEthnicMotifsEmbroideredThreadWorkThreadWorkKurti1.jpg",https://www.myntra.com/kurtis/ada/ada-women-ethnic-motifs-embroidered-thread-work-thread-work-kurti/31947496/buy
32006911,OKHAI,Embroidered Top,0,Rs. 3200,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32006911/2024/12/18/3f195f73-6eb1-4e4d-9a62-6d6cfb82779e1734513397974OKHAIEmbroideredCottonCropTop1.jpg",https://www.myntra.com/tops/okhai/okhai-embroidered-cotton-crop-top/32006911/buy
31974737,Brownverse,Ethnic Motifs Embroidered Kurti,Rs. 1124,Rs. 1499,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31974737/2024/12/14/2b5b3627-1647-4478-9dc5-3e5a1bddaab71734179237552WomenEmbroideredShortKurti1.jpg",https://www.myntra.com/kurtis/brownverse/brownverse-ethnic-motifs-embroidered-kurti/31974737/buy
31981026,Biba,Women Floral Printed Kurti,0,Rs. 2999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31981026/2024/12/16/f95bfb91-759b-498c-8f72-5a48752bce561734345231480Kurtis1.jpg",https://www.myntra.com/kurtis/biba/biba-women-floral-printed-kurti/31981026/buy
31990247,KBZ,Floral Print Applique Top,0,Rs. 1899,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31990247/2024/12/17/daa66913-09b4-4d62-8037-c55114caeb201734422067512KBZFloralPrintAppliqueCottonTop1.jpg",https://www.myntra.com/tops/kbz/kbz-floral-print-applique-cotton-top/31990247/buy
