id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
29958960,Anouk,Printed Pure Cotton Top,Rs. 699,Rs. 1999,4.5,2.3k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29958960/2024/6/13/28b75258-4d5f-478a-bfa2-18455fd5a0c01718280596571AnoukPrintMandarinCollarCottonTop4.jpg",https://www.myntra.com/tops/anouk/anouk-ethnic-printed-cuban-collar-pure-cotton-shirt-style-top/29958960/buy
19524874,QOMN,Print Mandarin Collar Empire Top,Rs. 999,Rs. 1499,4.4,9.7k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19524874/2022/8/17/0fb689b3-28b4-4f6a-be08-a2ce9dfedcdc1660715206206QOMNBluePrintMandarinCollarTop1.jpg",https://www.myntra.com/tops/qomn/qomn-blue-print-mandarin-collar-empire-pure-cotton-longline-top/19524874/buy
13238794,Anouk,Mandarin Collar Empire Top,Rs. 626,Rs. 1899,3.8,10.4k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13238794/2021/6/5/c44ab368-359b-4351-a4e2-38013be51e8b1622875534045-Anouk-Women-Tops-751622875533409-1.jpg",https://www.myntra.com/tops/anouk/anouk-white-mandarin-collar-empire-top/13238794/buy
27830498,Anouk,Embroidered Pure Cotton Kurti,Rs. 702,Rs. 1899,4.5,842,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27830498/2024/2/24/b7be6353-7f56-4d73-a4a5-02ccd17444ee1708753304641AnoukWomenGeometricYokeDesignFlaredSleevesThreadWorkKurta1.jpg",https://www.myntra.com/kurtis/anouk/anouk-floral-embroidered-v-neck-pure-cotton-straight-kurti/27830498/buy
27830474,Anouk,Floral Printed Cotton Kurti,Rs. 569,Rs. 1499,4.3,2.6k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27830474/2024/2/24/0454a00e-bbcd-49c1-8e6d-c492e71346871708759612983AnoukWomenPrintedKurta3.jpg",https://www.myntra.com/kurtis/anouk/anouk-blue-floral-printed-straight-pure-cotton-kurti/27830474/buy
19791536,Rain & Rainbow,Printed Pure Cotton Kurti,Rs. 797,Rs. 1595,4.2,4k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19791536/2022/12/6/a58bfef4-05ac-4c27-9d39-17073c7757171670314799026RainRainbowRustMustardYellowPrintedPureCottonKurti1.jpg",https://www.myntra.com/kurtis/rain+%26+rainbow/rain--rainbow-abstract-print-a-line-cotton-kurti/19791536/buy
15361606,Vishudh,Ethnic Motifs Printed Top,Rs. 701,Rs. 899,4,4k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15361606/2021/9/4/ac56f19c-4200-4c67-af6e-952af16a31e51630768640695VishudhMustardYellowEmbellishedA-LineTop1.jpg",https://www.myntra.com/tops/vishudh/vishudh-mustard--blue-ethnic-motifs-printed-pure-cotton-empire-top/15361606/buy
30478585,Anouk,Embroidered Straight Kurti,Rs. 739,Rs. 1999,4.2,149,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/3/3cUMIOrJ_70fb20ef09254528941fced72af53084.jpg",https://www.myntra.com/kurtis/anouk/anouk-floral-embroidered-notch-neck-straight-kurti/30478585/buy
15361610,Vishudh,Geometric Printed Empire Top,Rs. 379,Rs. 999,4.2,4.2k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15361610/2024/12/14/a58f2750-6aee-4fe6-b221-3910f75ace7c1734177289084-Vishudh-Off-White--Blue-Geometric-Printed-Mandarin-Collar-Em-1.jpg",https://www.myntra.com/tops/vishudh/vishudh-off-white--blue-geometric-printed-mandarin-collar-empire-top/15361610/buy
27830414,Anouk,Printed Pure Cotton Kurti,Rs. 569,Rs. 1499,4.3,1.3k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27830414/2024/2/24/09855fc3-915b-420c-b4c9-a8a9c59c835f1708759170082AnoukWomenFloralEmbroideredCold-ShoulderSleevesThreadWorkKur1.jpg",https://www.myntra.com/kurtis/anouk/anouk-ethnic-motifs-printed-pure-cotton-straight-kurti/27830414/buy
