id,brand,product_name,price,rating,count,image_url,product_link
9901973,Roadster,Women Solid Sweatshirt,"{'Discounted': '549', 'Original': '1099'}",4.3,14.4k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9901973/2022/10/10/834035a9-a370-45df-95d4-a1a8f273f44f1665379239977-The-Roadster-Lifestyle-Co-Women-Lavender-Solid-Hooded-Sweats-1.jpg",https://www.myntra.com/sweatshirts/roadster/the-roadster-lifestyle-co-women-lavender-solid-hooded-sweatshirt/9901973/buy
12144158,Mast & Harbour,Colourblocked Pullover Sweater,"{'Discounted': '664', 'Original': '1899'}",4.5,3.8k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12144158/2020/11/27/afac20ac-9147-4bf6-9196-a7696dc466a01606470065318-Mast--Harbour-Women-Sweaters-9861606470063976-1.jpg",https://www.myntra.com/sweaters/mast+%26+harbour/mast--harbour-women-blue-colourblocked-pullover-sweater/12144158/buy
31367935,Styli,Chunky Knit Half Zip Sweater,"{'Discounted': '1215', 'Original': '1899'}",4.7,35,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/21/YVk0X5T8_739e6bd0ba784eeaa6d229cbf13de7a8.jpg",https://www.myntra.com/sweaters/styli/styli-women-oversized-fit-regular-length-chunky-knit-half-zip-sweater/31367935/buy
30643116,Tokyo Talkies,Women Pullover,"{'Discounted': '799', 'Original': '1699'}",4.3,112,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/20/lxVranKu_4b959052af264d6b9682697d4ca21de9.jpg",https://www.myntra.com/sweaters/tokyo+talkies/tokyo-talkies-women-pullover/30643116/buy
23718528,ADIDAS,Striped Hooded Sweatshirt,"{'Discounted': '2699', 'Original': '3599'}",4.5,25,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23718528/2024/9/30/d859a422-0a55-4322-a7c7-a0003d125bfc1727675342110-ADIDAS-Women-Sweatshirts-8251727675341853-1.jpg",https://www.myntra.com/sweatshirts/adidas/adidas-striped-hooded-sweatshirt/23718528/buy
31616129,Vero Moda,Women Pullover,"{'Discounted': '1749', 'Original': '2499'}",,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/13/kimcLkDZ_6915256c3e3b4285b82d4893359b9d27.jpg",https://www.myntra.com/sweaters/vero+moda/vero-moda-women-pullover/31616129/buy
31395697,StyleCast,Women Cable Knit Sweater,"{'Discounted': '1449', 'Original': '3849'}",4.3,36,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/24/u0XZgnRQ_a9861aca4ab644e2807e098a4bbe0ae9.jpg",https://www.myntra.com/sweaters/stylecast/stylecast-women-cable-knit-with-zip-detail-detail-sweater/31395697/buy
19798116,Roadster,Women Cable Knit Pullover,"{'Discounted': '645', 'Original': '1899'}",4.3,5.4k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19798116/2022/9/9/bf5314fa-1208-4c4c-9945-9af4452ddc431662728283802-Computerised-Cable-Knit-Pattern-Sweater-291662728283275-1.jpg",https://www.myntra.com/sweaters/roadster/roadster-women-magenta-cable-knit-acrylic-pullover/19798116/buy
16222450,Tokyo Talkies,Women Hooded Sweatshirt,"{'Discounted': '584', 'Original': '1499'}",4,5.7k,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16222450/2021/11/24/1bdd3e2e-6a58-4e6c-95fb-ec5f836fb1391637746982044TokyoTalkiesWomenBlackHoodedSweatshirt1.jpg",https://www.myntra.com/sweatshirts/tokyo+talkies/tokyo-talkies-women-black-hooded-sweatshirt/16222450/buy
31753803,RAREISM,Women Pullover Sweatshirt,"{'Discounted': '2659', 'Original': '3799'}",,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/26/L0U8jPhS_ba058500f75149a7888fc57ef7bd12da.jpg",https://www.myntra.com/sweatshirts/rareism/rareism-women-printed-pullover-sweatshirt/31753803/buy
30154784,H&M,Women Fine-Knit V-Neck Jumper,"{'Discounted': '844', 'Original': '1299'}",4.1,253,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30154784/2024/7/9/943da5d6-b952-43de-9b45-8cfeb1c363d81720494611706Fine-knitV-neckjumper1.jpg",https://www.myntra.com/sweaters/h%26m/hm-women-fine-knit-v-neck-jumper/30154784/buy
27373656,Libas,Floral Printed A-Line Kurti,"{'Discounted': '543', 'Original': '1599'}",4.3,41,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27373656/2024/2/6/a4224bb7-fc91-4777-befc-965f15b5916b1707217631776LibasFloralPrintedKurti1.jpg",https://www.myntra.com/kurtis/libas/libas-floral-printed-mandarin-collar-a-line-kurti/27373656/buy
23091696,Biba,Printed Pure Cotton Kurti,"{'Discounted': '919', 'Original': '2299'}",3.7,77,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23091696/2023/5/9/8b6ee97a-47d6-4413-b60a-73687fb95d161683621292251Kurtis1.jpg",https://www.myntra.com/tunics/biba/biba-mandarin-collar-geometric-printed-a-line-pure-cotton-kurti/23091696/buy
26235078,SAADAA,Cotton Linen Straight Kurti,"{'Discounted': '799', 'Original': '1599'}",4.4,560,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26235078/2023/12/5/cb00692d-2279-4604-ac68-fb1e6cbf5b481701718455664Kurtis1.jpg",https://www.myntra.com/kurtis/saadaa/saadaa-mandarin-collar-cotton-linen-straight-kurti/26235078/buy
